,UMAP 1,UMAP 2,discretized FADY
0,9.746595,9.960883,1
1,8.146339,6.75576,1
2,9.380934,9.925372,1
3,12.48059,8.475669,1
4,7.661734,3.9456725,1
5,7.638917,3.8281813,1
6,7.7651644,4.4390817,1
7,13.155743,7.262482,1
8,7.1708717,6.221744,2
9,10.134047,6.2815385,1
10,8.260893,8.038663,1
11,10.212741,9.749067,1
12,7.782301,3.88244,0
13,8.794448,8.765541,0
14,9.216164,9.401865,0
15,7.7891927,6.093567,1
16,13.963565,6.9244876,1
17,11.261583,7.6345706,1
18,7.1614943,6.0476794,1
19,11.702832,8.759645,1
20,10.248987,6.1418695,1
21,7.509193,7.397613,1
22,9.947743,9.618502,1
23,10.358136,6.456634,1
24,11.3041725,8.415301,0
25,7.5074596,6.782048,1
26,11.38927,8.200699,0
27,7.9322524,5.782669,1
28,12.571322,7.7551208,0
29,9.5419235,9.770062,1
30,11.142136,9.095962,1
31,13.309109,6.987082,0
32,13.352784,7.426463,1
33,8.884943,8.03476,0
34,13.49383,7.3995757,1
35,11.942284,7.725575,1
36,7.6930227,7.708909,3
37,12.502032,7.2480936,1
38,8.734947,8.193893,1
39,11.41222,8.352987,0
40,10.4858,8.72755,1
41,7.0408998,5.794042,2
42,7.793294,6.501503,1
43,10.261433,6.075374,1
44,11.939912,7.365606,0
45,7.2401705,6.466278,2
46,10.820383,9.292648,1
47,8.263843,6.5265746,1
48,10.112343,9.144978,1
49,14.319557,7.176302,1
50,7.245148,5.834085,0
51,11.14527,7.4565687,0
52,10.526942,6.661533,1
53,7.772146,4.9959583,1
54,8.052127,6.3306675,1
55,8.7946415,8.040135,0
56,6.882688,6.147493,2
57,8.4925,8.3602495,0
58,13.461125,7.313925,1
59,12.259751,8.7014265,1
60,10.032989,6.1258135,0
61,13.8643055,7.1719785,0
62,11.739238,7.2618394,1
63,7.868048,4.3587513,1
64,8.596453,8.2990675,1
65,14.369189,7.206979,0
66,7.6201,3.8499317,0
67,14.476003,7.133301,1
68,8.217352,6.4048443,1
69,10.148738,9.509411,1
70,11.786707,8.208491,1
71,9.188519,10.039023,0
72,8.899733,8.066199,1
73,11.633723,8.563227,1
74,10.389181,9.51727,0
75,9.748929,9.441361,1
76,8.910094,6.5965314,0
77,12.156109,7.534481,1
78,7.7331333,7.6442113,1
79,11.904835,8.471565,1
80,7.7696824,4.1445994,1
81,7.602808,5.72095,1
82,7.721583,6.6311407,1
83,9.534759,10.265918,1
84,12.063943,7.707316,0
85,14.55634,7.3211102,1
86,11.024055,7.877217,1
87,8.430944,6.1022406,1
88,10.331735,9.6050825,1
89,11.599646,7.2441797,0
90,12.39949,8.56554,1
91,7.496586,7.869453,1
92,12.628484,8.290367,1
93,10.409587,6.3902063,0
94,9.392976,10.102699,1
95,6.8855414,5.9118657,4
96,13.854766,6.8942566,1
97,13.115451,7.1386843,1
98,7.0449967,6.0051465,2
99,13.011733,7.8810797,1
100,13.713601,7.026562,1
