,UMAP 1,UMAP 2,discretized FADY
0,11.430438,5.422518,1
1,-0.19116242,1.0975587,1
2,11.109132,4.883466,1
3,11.9618435,4.3648844,1
4,10.401743,6.8298316,1
5,10.563712,6.8114114,1
6,10.677683,6.4170337,1
7,11.996486,3.8544774,1
8,-1.1695865,1.8971616,2
9,7.4010777,2.9415572,1
10,-0.034048926,0.9494563,1
11,12.02933,4.4959493,1
12,10.65757,7.030377,0
13,4.341797,3.682539,0
14,4.317667,3.1613543,0
15,-0.9184434,1.6126982,1
16,10.015845,3.5483406,1
17,8.961471,3.9166634,1
18,-0.15900093,1.8780066,1
19,10.71417,4.0312705,1
20,7.7443223,2.9091039,1
21,0.075873345,1.9962406,1
22,11.570787,4.9345617,1
23,7.7275,3.307101,1
24,4.2511463,2.925472,0
25,0.3901239,1.6798828,1
26,4.0895767,3.1425712,0
27,0.7846138,1.4186857,1
28,4.280097,3.369068,0
29,11.952184,4.7057676,1
30,12.100358,4.1096396,1
31,3.863734,3.3816009,0
32,11.268494,3.785214,1
33,4.71556,3.0726664,0
34,11.082638,3.5623472,1
35,9.836109,3.9923673,1
36,0.040755946,1.5335469,3
37,9.761765,3.8669033,1
38,4.7181354,3.4997458,1
39,4.1042805,3.617311,0
40,9.2245035,4.1394267,1
41,-0.948152,1.8989195,2
42,-0.61029947,1.1643934,1
43,7.5719633,2.9688318,1
44,9.467106,3.829729,0
45,-0.4966184,2.2287161,2
46,12.091221,4.2084694,1
47,0.09946243,1.0505791,1
48,9.563685,4.4599466,1
49,11.439491,3.5897472,1
50,-1.0919372,1.5707529,0
51,4.8529205,2.9544463,0
52,8.014408,3.2899895,1
53,0.58965784,1.6642356,1
54,-0.42625895,1.0765113,1
55,5.0295534,3.3909585,0
56,-0.49536225,2.4006145,2
57,4.276481,3.5457644,0
58,11.448473,3.2930892,1
59,11.096226,4.5438037,1
60,7.9567976,3.0830162,0
61,11.5585985,4.124156,0
62,8.955558,3.7737913,1
63,10.809036,6.1741,1
64,4.0778885,2.7575572,1
65,3.7997632,3.326273,0
66,10.67393,6.713816,0
67,11.759742,3.6087134,1
68,0.20944606,1.1241732,1
69,12.056176,4.917358,1
70,10.918917,5.8508797,1
71,11.123477,5.6700964,0
72,4.4217296,2.7390463,1
73,10.159046,4.2646575,1
74,12.089147,5.115615,0
75,10.751921,4.5270567,1
76,4.5148716,3.7900178,0
77,9.757039,4.1842084,1
78,-0.89843637,1.4007545,1
79,10.587175,4.4225183,1
80,10.523501,6.795797,1
81,-1.039101,1.7655759,1
82,0.3014873,1.5521716,1
83,11.701854,5.3283653,1
84,4.870574,3.1867602,0
85,11.798982,3.4888504,1
86,4.5613546,2.9153953,1
87,-0.20428629,0.879662,1
88,11.880167,4.904252,1
89,9.127,3.7258894,0
90,11.538753,4.7038364,1
91,-0.68645185,1.3571777,1
92,11.845438,4.075848,1
93,7.6356044,2.758103,0
94,11.856875,5.4775853,1
95,-0.35042477,2.301057,4
96,10.892864,5.9910045,1
97,10.832404,3.836914,1
98,-0.81623745,1.7757801,2
99,12.14267,3.8063757,1
100,9.656585,3.5330565,1
