,UMAP 1,UMAP 2,discretized FADY
0,-3.6205952,7.9530764,1
1,1.1939992,6.843272,1
2,-3.2100022,8.316094,1
3,-5.3252134,6.143012,1
4,-3.1744397,4.575596,1
5,-3.1715384,4.5662236,1
6,-3.7246475,5.0027156,1
7,-5.6761365,5.333243,1
8,1.942462,6.471552,2
9,-1.9660784,6.6294928,1
10,0.602065,7.213693,1
11,-3.9969363,7.8445563,1
12,-3.1160133,4.519573,0
13,-2.6527617,7.8749886,0
14,-0.59493834,7.6311355,0
15,1.700433,6.931508,1
16,-5.409504,4.633661,1
17,-3.8833616,6.6173596,1
18,0.6913166,6.0899577,1
19,-4.8386965,6.67266,1
20,-2.2679622,6.563321,1
21,0.54901254,7.569254,1
22,-3.7329662,7.9229307,1
23,-2.6456015,6.480522,1
24,-0.102017894,6.63611,0
25,0.54486674,7.0699716,1
26,-0.41484487,5.914625,0
27,-0.13130224,6.203113,1
28,-0.57872367,5.8149734,0
29,-3.54177,8.350245,1
30,-4.5758796,7.2040367,1
31,-0.22702296,5.6682935,0
32,-5.5556216,5.212823,1
33,-0.8907736,7.286171,0
34,-5.828716,4.987692,1
35,-4.286469,6.1195602,1
36,-0.1378922,7.665172,3
37,-4.886196,5.576233,1
38,-1.282006,7.5176787,1
39,-0.790919,6.035364,0
40,-3.8373408,7.006312,1
41,1.8103417,6.3419867,2
42,1.5538299,6.7576747,1
43,-2.2525418,6.4938884,1
44,-4.5158463,5.8352704,0
45,1.0841866,7.0016904,2
46,-4.4227705,7.370648,1
47,1.0661312,6.5826554,1
48,-3.6311858,7.335379,1
49,-5.711812,4.353947,1
50,2.0585818,6.475751,0
51,-0.45386127,6.705631,0
52,-2.6843567,6.4719996,1
53,-0.69055873,5.3810434,1
54,1.4558239,6.4950023,1
55,-1.2332863,7.3313212,0
56,1.7502166,6.7070556,2
57,-0.90317196,7.626314,0
58,-5.749181,5.0930576,1
59,-5.265455,6.4122734,1
60,-2.261969,6.761559,0
61,-5.58798,4.819249,0
62,-4.2478714,5.8976235,1
63,-3.5739853,5.183762,1
64,-0.47944972,7.5035872,1
65,-5.591582,4.1996093,0
66,-3.2958062,4.7163463,0
67,-5.7260814,4.092231,1
68,0.8275885,6.363791,1
69,-4.0480957,7.813235,1
70,-3.8550136,5.359726,1
71,-3.208084,8.287799,0
72,-0.36129215,7.1610026,1
73,-4.573547,6.464906,1
74,-3.1567905,7.6110835,0
75,-3.7299678,8.032894,1
76,-1.1080474,5.854645,0
77,-4.639627,5.8939776,1
78,1.1140255,7.377701,1
79,-4.833424,6.3824315,1
80,-3.23595,4.6361485,1
81,2.0740874,6.6513515,1
82,0.7825524,6.9058623,1
83,-3.6785688,8.275677,1
84,-0.36090323,6.1831846,0
85,-5.541479,4.2566366,1
86,-0.39358357,6.502476,1
87,1.4166697,6.4094343,1
88,-4.1603374,7.741918,1
89,-4.0331116,5.7898617,0
90,-5.4307494,6.3185983,1
91,0.63508916,7.623499,1
92,-5.4852853,5.9525847,1
93,-2.5134087,6.417585,0
94,-3.3761027,8.174434,1
95,0.119957544,5.8535624,4
96,-4.891904,4.621422,1
97,-5.451303,5.4351306,1
98,1.683017,6.587338,2
99,-5.7204294,5.691138,1
100,-5.1778393,4.915508,1
