,UMAP 1,UMAP 2,discretized FADY
0,3.6118062,10.708749,1
1,7.494921,6.714002,1
2,4.3569603,10.5504675,1
3,1.0752208,8.771774,1
4,3.9372175,5.9625435,1
5,4.0208435,5.9304295,1
6,3.7904959,6.522296,1
7,0.3142675,7.973669,1
8,8.334423,6.59737,2
9,6.7890496,6.2390194,1
10,7.0955873,6.541872,1
11,2.6651244,10.822704,1
12,4.0941215,6.0206447,0
13,5.2745852,9.4677105,0
14,5.9594483,9.23282,0
15,8.068044,6.5370507,1
16,0.018506015,7.1174107,1
17,1.7795124,9.904716,1
18,6.703219,7.431572,1
19,1.5247705,9.491576,1
20,3.4283013,10.597509,1
21,6.97933,6.019655,1
22,3.125339,10.915773,1
23,1.5704467,8.325156,1
24,6.2347355,7.9827094,0
25,6.415868,6.5066977,1
26,5.757857,7.634871,0
27,6.02283,6.9375787,1
28,5.3232327,7.6229777,0
29,3.6742077,10.900128,1
30,1.8504021,9.988786,1
31,5.824768,7.330047,0
32,0.0016366577,7.704316,1
33,5.579525,9.138367,0
34,0.040409524,7.7240686,1
35,1.1740588,8.863491,1
36,5.7872396,9.764151,3
37,0.66651314,7.8761916,1
38,5.631943,9.403545,1
39,5.4846582,7.86199,0
40,2.396741,10.846261,1
41,8.330591,6.731344,2
42,8.038546,6.485906,1
43,2.6942487,10.671239,1
44,1.2391903,8.360066,0
45,7.167292,6.566228,2
46,2.0537262,10.330954,1
47,7.2351837,6.9030066,1
48,2.8489468,10.973886,1
49,-0.3308883,7.3008738,1
50,8.422904,6.50254,0
51,6.4754868,7.844694,0
52,2.7010303,10.614323,1
53,3.986386,6.2203536,1
54,7.7591496,6.8490086,1
55,5.667249,9.41121,0
56,7.9511433,6.7151566,2
57,5.7810273,9.066735,0
58,0.055622973,7.778382,1
59,1.2392131,8.792002,1
60,4.8579664,10.251619,0
61,0.009305779,7.352093,0
62,1.1949798,8.205312,1
63,3.6733196,6.6692905,1
64,5.9749537,9.2957115,1
65,-0.55368024,7.48086,0
66,4.024316,5.8030243,0
67,-0.5573084,7.305465,1
68,7.0497036,7.2225666,1
69,2.690818,10.881451,1
70,1.9155563,8.720746,1
71,4.175292,10.756915,0
72,6.293004,8.2635975,1
73,1.6736255,9.304734,1
74,5.135257,8.9738865,0
75,3.2824805,10.97086,1
76,5.066194,7.8815355,0
77,1.108962,8.437676,1
78,7.4852347,6.234452,1
79,1.6776263,8.965043,1
80,3.7601373,6.1301713,1
81,8.302988,6.3276243,1
82,6.675802,6.7083116,1
83,3.8304188,10.787566,1
84,5.7531886,7.6959968,0
85,-0.58416986,7.5258594,1
86,6.0009174,8.060864,1
87,7.7811756,7.1057057,1
88,2.3774524,10.900711,1
89,1.7327751,8.46073,0
90,1.7562635,8.913204,1
91,7.2178364,5.998487,1
92,0.94381696,8.578129,1
93,5.8416114,8.374173,0
94,4.0436783,10.735569,1
95,6.0483866,7.400854,4
96,0.30893448,7.0727315,1
97,0.28628793,7.925364,1
98,8.101054,6.836616,2
99,0.7670597,8.03624,1
100,0.15933132,7.244721,1
