,UMAP 1,UMAP 2,discretized FADY
0,10.885431,2.8454723,1
1,9.491956,-2.390166,1
2,11.163568,2.4116228,1
3,8.587248,3.8583946,1
4,9.893141,4.504537,1
5,10.046201,4.501305,1
6,9.183478,4.168158,1
7,7.9460626,4.4250464,1
8,9.091394,-3.4008107,2
9,8.110892,1.5075314,1
10,9.826538,-1.9852118,1
11,10.495928,2.6217656,1
12,9.747226,4.030426,0
13,10.607577,1.6198398,0
14,10.680296,-0.17109822,0
15,9.478384,-3.3999984,1
16,7.4701123,4.78882,1
17,8.787097,2.8485858,1
18,9.135629,-2.138944,1
19,8.996544,3.2650304,1
20,8.058656,1.7448756,1
21,10.246877,-1.8007383,1
22,10.5809765,2.8847291,1
23,7.9192057,2.0555885,1
24,9.727972,-0.65129465,0
25,9.7724495,-2.0717173,1
26,9.541737,-0.5462521,0
27,9.622295,-1.1636889,1
28,9.27543,-0.15463229,0
29,11.063152,2.5899792,1
30,9.61099,3.223057,1
31,9.095565,-0.35419667,0
32,7.771118,4.47663,1
33,10.303364,-0.052585464,0
34,7.514343,4.438145,1
35,8.490102,3.0678093,1
36,10.365592,-2.017234,3
37,7.844167,3.5933719,1
38,10.433117,-0.23003682,1
39,9.379138,-0.1200755,0
40,9.572493,2.6811574,1
41,9.068747,-3.1230316,2
42,9.371497,-2.5645008,1
43,7.9849157,1.6010777,1
44,8.072795,3.1205597,0
45,9.660308,-2.9873295,2
46,9.908826,2.9249206,1
47,9.371849,-2.1297038,1
48,10.0965805,2.5761075,1
49,7.0224547,4.8850517,1
50,8.938079,-2.9018884,0
51,9.993582,-0.438653,0
52,8.110204,2.223912,1
53,9.867602,-3.5319445,1
54,9.315342,-2.569503,1
55,10.370887,0.24996728,0
56,9.462749,-3.3702877,2
57,10.649907,0.022635644,0
58,7.8834357,4.416148,1
59,8.6264515,3.684763,1
60,8.142592,1.7962843,0
61,7.3356824,4.5867395,0
62,8.094973,3.0316355,1
63,9.850094,4.2141066,1
64,10.568459,-0.5671509,1
65,6.889452,4.9181414,0
66,9.981655,4.435618,0
67,6.913396,4.9932165,1
68,9.173431,-2.0504103,1
69,10.429811,2.82,1
70,8.887372,3.4011526,1
71,11.000338,2.2884562,0
72,10.206842,-0.85864544,1
73,9.1465025,3.1568968,1
74,10.366565,1.9268819,0
75,10.843907,2.7022166,1
76,9.216452,0.13897938,0
77,8.242897,3.3549168,1
78,10.025268,-2.366975,1
79,8.925913,3.4553838,1
80,10.027143,4.5159473,1
81,8.942622,-3.2977815,1
82,9.521044,-1.903726,1
83,11.062055,2.695793,1
84,9.400723,-0.5161476,0
85,6.976866,5.0552387,1
86,9.799459,-0.79990554,1
87,9.169124,-2.5998693,1
88,10.181699,2.6430962,1
89,8.300847,2.8533206,0
90,9.047793,3.8535726,1
91,10.233329,-2.2060401,1
92,8.514018,3.9117897,1
93,7.9796324,1.858487,0
94,11.246906,2.6608152,1
95,9.671626,-3.6591055,4
96,7.3579516,4.83482,1
97,7.830831,4.5476627,1
98,9.271131,-3.1548872,2
99,8.373443,4.19366,1
100,7.5411706,4.809524,1
