,UMAP 1,UMAP 2,discretized FADY
0,9.872619,-3.9979844,1
1,6.648359,1.7707641,1
2,9.601288,-4.7158475,1
3,9.259705,-5.4136715,1
4,8.730247,-2.2846072,1
5,8.760176,-2.1103034,1
6,8.171141,-2.4360523,1
7,6.742514,-4.2581673,1
8,7.170382,2.5250602,2
9,7.569519,-0.79146546,1
10,6.572342,1.479885,1
11,8.84456,-5.186359,1
12,8.66506,-2.2392738,0
13,10.419713,-3.1368206,0
14,11.14056,-2.6076465,0
15,6.989097,2.5094042,1
16,8.38225,-5.577516,1
17,9.553637,-4.331978,1
18,7.368179,1.7119851,1
19,8.469657,-5.083267,1
20,7.842816,-4.0282288,1
21,7.586197,1.8485178,1
22,7.255354,-4.604163,1
23,7.691472,-1.2722205,1
24,11.340405,-2.2164106,0
25,7.472522,1.2295247,1
26,10.996535,-2.4945536,0
27,7.379868,0.74482304,1
28,10.386463,-2.6494157,0
29,9.108929,-5.107762,1
30,9.6945305,-5.488638,1
31,11.269226,-2.7957528,0
32,9.71151,-5.2322216,1
33,10.65772,-2.0704474,0
34,8.82513,-5.4025354,1
35,7.946595,-5.0316434,1
36,7.409432,1.4420274,3
37,7.4271526,-4.33039,1
38,7.379106,-3.1840467,1
39,6.668995,-3.023308,0
40,7.1886845,-3.6470742,1
41,7.2728767,2.5981119,2
42,6.6603646,2.1271307,1
43,7.5876102,-1.1351548,1
44,7.0290833,-3.4949565,0
45,7.708324,2.157991,2
46,6.66524,-3.975595,1
47,6.89548,1.4716061,1
48,7.4794755,-4.2555676,1
49,6.902373,-4.349209,1
50,6.825453,2.4593961,0
51,11.408309,-2.5288703,0
52,8.413036,-5.456165,1
53,7.5464854,0.6419794,1
54,6.5059285,1.8042048,1
55,10.493564,-2.0276446,0
56,7.621887,2.3487263,2
57,10.752804,-2.4257634,0
58,8.665969,-5.7078986,1
59,9.337908,-5.2268972,1
60,8.318508,-3.7977576,0
61,10.22482,-4.4240813,0
62,9.718692,-4.2487907,1
63,9.130717,-3.0860457,1
64,11.004146,-1.943105,1
65,11.335623,-2.6823685,0
66,8.594553,-2.362963,0
67,10.068069,-5.1113496,1
68,6.779011,1.2781014,1
69,9.783467,-5.454678,1
70,9.303795,-3.3707976,1
71,9.534621,-3.7128673,0
72,11.212988,-1.8555552,1
73,9.965944,-4.6756506,1
74,10.270445,-4.265865,0
75,9.879685,-4.9365125,1
76,10.13974,-2.8986397,0
77,8.221362,-4.990498,1
78,6.859601,2.3558345,1
79,7.374552,-4.708359,1
80,8.457072,-2.0451841,1
81,6.9786196,2.8608048,1
82,7.146761,1.177126,1
83,8.592163,-5.0713587,1
84,11.150629,-2.0831752,0
85,8.973942,-5.6330066,1
86,11.106571,-2.074542,1
87,6.7433376,1.6833134,1
88,8.75662,-5.03045,1
89,7.765612,-4.8547225,0
90,6.9781857,-4.6128635,1
91,6.599843,2.4795876,1
92,6.5268645,-3.74725,1
93,7.5361867,-0.9885109,0
94,6.5512466,-3.4343927,1
95,7.8444643,2.2326536,4
96,7.194997,-2.883961,1
97,6.6413856,-3.4200249,1
98,6.6645803,2.6507533,2
99,6.457138,-3.6269703,1
100,6.9449167,-3.466707,1
