,UMAP 1,UMAP 2,discretized FADY
0,-2.1693676,14.177272,1
1,9.376674,10.00048,1
2,-3.0409217,14.021674,1
3,-4.1711106,13.506853,1
4,-1.8603673,12.0822735,1
5,-1.8247805,12.032268,1
6,-2.1836507,12.395687,1
7,-3.8184347,10.238912,1
8,8.928475,8.742966,2
9,8.632521,9.349608,1
10,9.363391,10.175573,1
11,-4.6384945,13.0338,1
12,-1.9433376,12.184175,0
13,0.17922813,12.619634,0
14,0.8304677,12.777173,0
15,9.13778,8.73893,1
16,-3.967303,13.271995,1
17,-2.268188,14.517841,1
18,8.835002,9.506583,1
19,-4.6257315,12.275857,1
20,-3.9994345,11.150201,1
21,8.464813,9.775294,1
22,-4.2997594,10.650088,1
23,-3.9220622,11.3658,1
24,0.99443746,12.609613,0
25,8.479783,9.721351,1
26,0.89859146,12.123833,0
27,8.588707,10.246866,1
28,0.23424904,12.146282,0
29,-4.2094464,13.021255,1
30,-3.4436288,13.956745,1
31,0.67965335,12.76661,0
32,-3.0334408,14.219054,1
33,0.5118107,12.43523,0
34,-4.4028788,13.24655,1
35,-4.6534166,12.571437,1
36,8.645428,8.98873,3
37,-4.008088,10.430121,1
38,-2.867623,9.718027,1
39,-3.3702993,9.501023,0
40,-3.8423164,8.893663,1
41,9.068155,8.97131,2
42,9.597441,9.480063,1
43,-3.859027,9.802149,1
44,-3.7608483,9.004057,0
45,8.569725,8.8165455,2
46,-3.9173737,9.987909,1
47,9.404475,10.022518,1
48,-4.1927166,10.538334,1
49,-4.142198,10.3635645,1
50,9.471866,9.05563,0
51,0.9945004,12.851739,0
52,-3.6934483,13.706506,1
53,8.388428,8.865871,1
54,9.495888,9.797901,1
55,0.34926495,12.195276,0
56,8.5022745,8.6928215,2
57,0.49275935,12.322433,0
58,-4.632664,13.174605,1
59,-3.5860925,13.802228,1
60,0.18310581,12.261712,0
61,-1.9350241,14.307431,0
62,-2.0752747,14.437255,1
63,-2.0462525,12.344953,1
64,0.9214677,12.056991,1
65,1.082547,12.947133,0
66,-1.7931324,12.009516,0
67,-2.6194336,14.366224,1
68,9.129155,10.231544,1
69,-3.2000566,14.124713,1
70,-2.2936635,13.606549,1
71,-2.084207,13.818563,0
72,1.1993524,12.28563,1
73,-2.4619913,14.310082,1
74,-1.6951585,14.087023,0
75,-2.699356,14.29034,1
76,-0.0024375422,12.215286,0
77,-4.08663,12.750572,1
78,9.575208,9.040079,1
79,-4.2635207,11.005095,1
80,-2.0036962,12.200641,1
81,9.376632,8.921605,1
82,8.876062,10.006176,1
83,-4.3386216,12.494293,1
84,0.89046353,12.947179,0
85,-4.5022407,13.349015,1
86,1.0491701,12.128454,1
87,9.634049,10.085671,1
88,-4.4037724,12.757713,1
89,-3.784024,11.477691,0
90,-3.9260032,11.129455,1
91,9.275659,9.351507,1
92,-3.7422397,9.302267,1
93,-3.1406896,9.594565,0
94,-3.4528396,9.00351,1
95,8.493085,8.658337,4
96,-3.5152113,9.191579,1
97,-3.3883257,8.678839,1
98,9.030396,9.082684,2
99,-3.4400222,8.7769165,1
100,-3.5693824,8.700205,1
