,UMAP 1,UMAP 2,discretized FADY
0,-1.3994294,10.764832,1
1,-1.8157812,7.1134467,1
2,-1.6113702,10.324674,1
3,2.0787091,10.268184,1
4,-0.99954516,3.5909646,1
5,-0.82450503,3.6531646,1
6,-1.158377,4.0735607,1
7,3.273234,10.778007,1
8,-3.0092359,6.070096,2
9,-2.6386056,7.3651047,1
10,-1.6603696,8.346887,1
11,-0.5871988,11.018429,1
12,-0.97119856,3.5286098,0
13,-1.2263299,8.911183,0
14,-1.5987555,9.5647335,0
15,-2.4570985,6.559729,1
16,4.069552,10.806176,1
17,-0.13598946,10.446804,1
18,-2.8446062,5.8053503,1
19,0.96692854,10.50592,1
20,-1.3912029,9.231082,1
21,-2.7425065,7.420069,1
22,-0.9455413,10.942895,1
23,2.244886,10.890229,1
24,0.6463794,9.631257,0
25,-2.7641492,6.9732637,1
26,1.1174371,9.181215,0
27,-2.3423645,6.6597157,1
28,2.301602,9.829408,0
29,-1.4402752,10.502402,1
30,0.5548722,10.693109,1
31,2.952972,10.9269495,0
32,3.5732694,10.82551,1
33,-1.2055618,8.690925,0
34,3.6625018,10.747055,1
35,1.7536408,10.34943,1
36,-2.5473926,7.728519,3
37,2.965292,10.427467,1
38,-1.4023947,8.791304,1
39,0.98321605,9.495806,0
40,-0.5254791,10.671473,1
41,-2.9378376,5.855993,2
42,-1.8616207,6.6110845,1
43,-0.77063626,8.904608,1
44,2.1548536,10.371214,0
45,-3.1019478,6.784784,2
46,-0.008043257,10.950486,1
47,-1.8559508,6.6071687,1
48,-0.51382214,10.506719,1
49,4.345216,10.664281,1
50,-3.038401,5.902738,0
51,0.8433212,10.805797,0
52,-0.864152,11.365451,1
53,-1.4219826,4.37188,1
54,-1.9828614,6.472774,1
55,-1.7298602,8.848716,0
56,-3.246029,6.319664,2
57,-1.2948122,8.736903,0
58,3.5356905,10.611898,1
59,1.6438665,10.257086,1
60,-1.1790061,9.473714,0
61,3.9486291,10.990863,0
62,2.1133227,10.649279,1
63,-1.1977501,4.0729256,1
64,-1.3753757,8.661177,1
65,4.5948243,10.386486,0
66,-0.9945688,3.6555483,0
67,4.461508,10.531176,1
68,-1.9603853,6.2845974,1
69,-0.71807766,11.217809,1
70,1.5645279,11.022846,1
71,-1.7037381,10.49812,0
72,-0.6957906,8.7698765,1
73,1.0958474,10.664994,1
74,-0.5911224,11.074241,0
75,-1.0909464,10.889821,1
76,0.7142348,8.86531,0
77,2.071848,10.26282,1
78,-2.3936636,7.777765,1
79,1.3409898,10.661792,1
80,-1.2620856,3.83298,1
81,-2.4471395,6.2402935,1
82,-2.5847313,6.940145,1
83,-1.593111,10.709747,1
84,2.0386598,9.928315,0
85,4.520463,10.474005,1
86,0.8329396,9.28999,1
87,-1.69814,6.4418316,1
88,-0.40840504,11.294753,1
89,1.9283631,11.0330105,0
90,1.8718673,10.761149,1
91,-2.3747334,8.024982,1
92,2.4546149,10.13507,1
93,-0.11557738,9.231545,0
94,-1.4589953,10.474436,1
95,-3.177696,6.210606,4
96,3.789378,11.085491,1
97,3.3856106,10.526249,1
98,-2.5893717,6.0385513,2
99,2.8371656,10.28856,1
100,3.8088567,10.891462,1
