,UMAP 1,UMAP 2,discretized FADY
0,8.785537,6.7272067,1
1,4.872923,4.366304,1
2,7.98679,6.8226624,1
3,8.09773,2.8784046,1
4,9.932661,3.8463533,1
5,10.104731,3.9826448,1
6,9.515744,3.517369,1
7,8.60034,1.5851649,1
8,3.2887845,4.283026,2
9,4.1431117,5.0733733,1
10,5.852155,5.660256,1
11,8.91907,6.067328,1
12,9.912069,3.7766647,0
13,7.0196385,5.70979,0
14,7.5859494,6.0844603,0
15,3.7505739,4.4412794,1
16,9.469663,1.3783307,1
17,8.40425,5.5740356,1
18,3.6645448,4.0243955,1
19,8.386857,4.057463,1
20,7.278361,6.2386727,1
21,4.3599467,5.1301556,1
22,8.61323,6.218429,1
23,8.002482,2.9221475,1
24,7.1918674,4.081345,0
25,3.886404,4.8379035,1
26,6.5504985,3.9225523,0
27,4.0923243,4.2188735,1
28,7.104212,3.4648557,0
29,8.3386965,6.773808,1
30,8.553812,4.720627,1
31,8.478704,2.043301,0
32,8.61638,1.486037,1
33,6.3403664,5.5536323,0
34,8.676735,1.3469375,1
35,8.27716,3.2517738,1
36,4.0277166,5.277538,3
37,8.282574,1.9561974,1
38,6.015152,5.913605,1
39,7.400266,3.9002461,0
40,8.447626,5.83503,1
41,3.351768,4.1273317,2
42,4.3820553,4.0393353,1
43,7.3945055,5.462691,1
44,8.478873,2.8661613,0
45,3.4373274,4.736847,2
46,8.718722,5.134378,1
47,4.7638144,4.068829,1
48,8.272237,6.029927,1
49,9.55058,1.1304214,1
50,3.6207578,3.8978746,0
51,8.407003,4.4507685,0
52,8.975278,5.8622823,1
53,3.007074,4.440414,1
54,4.3030124,3.9254727,1
55,6.7026114,6.0289364,0
56,3.1987643,4.5425825,2
57,6.5979986,5.7588186,0
58,8.78023,1.2035265,1
59,7.9600034,3.2949328,1
60,7.184875,6.398875,0
61,8.94212,1.2866054,0
62,8.614079,2.9336696,1
63,9.241305,3.7009137,1
64,6.1087976,5.826643,1
65,9.713964,0.96779895,0
66,9.822409,3.881761,0
67,9.83126,0.84468526,1
68,4.5426154,4.216953,1
69,8.833783,5.962561,1
70,9.067065,3.4833229,1
71,8.145645,6.963395,0
72,6.2538786,5.4845824,1
73,8.430386,4.0730467,1
74,8.868566,5.885493,0
75,8.710456,6.5773907,1
76,6.7309475,3.787989,0
77,8.23315,3.0166624,1
78,4.4500313,5.0351224,1
79,8.409001,3.5914984,1
80,9.747412,4.0314465,1
81,3.8113396,4.2857904,1
82,4.231634,4.569538,1
83,8.515416,6.7748775,1
84,7.13198,3.6310892,0
85,9.662716,1.02399,1
86,6.543445,4.2400327,1
87,4.7105036,3.9132936,1
88,8.943398,5.6604548,1
89,8.882383,3.2433887,0
90,8.143113,3.4427218,1
91,4.3905845,5.27711,1
92,8.053914,2.573113,1
93,7.321357,5.2734776,0
94,8.230488,7.0072923,1
95,3.018125,4.430506,4
96,9.172594,1.5670525,1
97,8.38506,1.6565019,1
98,3.8587022,4.0809555,2
99,8.563661,2.141997,1
100,9.031978,1.3366574,1
