,UMAP 1,UMAP 2,discretized FADY
0,22.437574,7.095897,1
1,11.776946,5.291617,1
2,22.870657,6.059386,1
3,24.050201,8.368463,1
4,20.635208,7.96179,1
5,20.757298,7.8329477,1
6,21.38066,7.7053533,1
7,23.22235,8.833604,1
8,10.574087,5.688311,2
9,11.247773,5.8769,1
10,12.081606,5.567123,1
11,24.08893,7.5549083,1
12,20.861084,7.7453485,0
13,13.424233,0.45404077,0
14,12.629759,0.35943505,0
15,10.755975,5.5006294,1
16,24.038021,9.448539,1
17,22.77275,6.1928415,1
18,11.320837,6.143734,1
19,23.926613,7.742177,1
20,22.639595,5.9295435,1
21,11.547647,6.125924,1
22,23.858648,6.5408306,1
23,23.164686,8.005612,1
24,12.524533,0.28853947,0
25,11.542502,6.2023582,1
26,12.847082,1.1190683,0
27,12.045182,6.0708985,1
28,13.296577,0.4036109,0
29,23.951857,7.0873938,1
30,24.121397,8.618559,1
31,12.717699,-0.034525935,0
32,23.56532,8.947193,1
33,13.063151,0.67856854,0
34,23.67759,8.919691,1
35,23.903109,7.905991,1
36,10.780271,6.1655593,3
37,24.244719,8.170377,1
38,13.156212,1.4085299,1
39,13.133169,0.245976,0
40,22.859093,5.9581404,1
41,10.542562,5.720491,2
42,11.264152,5.2529273,1
43,23.31864,8.558432,1
44,23.489475,7.379541,0
45,10.731899,6.2153454,2
46,24.247276,8.28482,1
47,12.119565,5.5627737,1
48,22.88886,5.891426,1
49,24.168966,9.195982,1
50,10.6932335,5.3644,0
51,12.6922655,-0.05847207,0
52,24.080614,7.269485,1
53,10.66792,6.2464113,1
54,11.534492,5.4021716,1
55,13.223162,0.9404082,0
56,10.674402,5.952366,2
57,13.245737,0.6901944,0
58,24.208918,9.509432,1
59,23.606823,6.7646823,1
60,22.314371,5.688982,0
61,24.452671,7.62121,0
62,22.85475,6.7598243,1
63,21.520369,7.658542,1
64,13.00931,1.1400317,1
65,12.586351,0.017172087,0
66,20.872894,7.7578316,0
67,24.414415,9.023349,1
68,11.991702,5.739306,1
69,23.817581,6.9960318,1
70,21.933725,7.577965,1
71,22.11548,7.223645,0
72,12.880849,1.2744213,1
73,23.53595,6.7628946,1
74,24.248709,7.1740265,0
75,23.893364,6.517241,1
76,13.372103,0.64096564,0
77,23.394949,6.5698485,1
78,10.964005,5.1378865,1
79,22.857706,7.480479,1
80,20.740747,7.877223,1
81,10.769844,5.183179,1
82,11.7435255,6.058013,1
83,22.804737,7.1675787,1
84,12.693007,0.52200043,0
85,24.375147,9.089203,1
86,13.070792,1.2547452,1
87,11.85334,5.4184523,1
88,23.920595,6.9412003,1
89,22.572262,7.5929785,0
90,23.464994,7.2797055,1
91,11.018864,5.135635,1
92,24.03088,8.738286,1
93,12.903657,0.32680297,0
94,23.03444,7.0592847,1
95,10.600395,6.432041,4
96,21.868855,7.635606,1
97,23.458652,9.103617,1
98,11.048223,5.6695957,2
99,23.290894,8.932102,1
100,23.945099,9.199781,1
