,UMAP 1,UMAP 2,discretized FADY
0,9.856703,3.8943455,1
1,0.5733613,3.8035123,1
2,9.890572,3.8929708,1
3,11.035181,4.015788,1
4,7.595796,1.6658726,1
5,7.3630314,1.5550704,1
6,7.647772,2.0292668,1
7,11.4943905,4.228193,1
8,-0.28970575,3.9771683,2
9,7.0633154,6.0993223,1
10,1.1252581,3.5688596,1
11,10.995036,4.3289,1
12,7.6733,1.8391224,0
13,3.8276901,1.9304883,0
14,2.6465945,2.3433883,0
15,-0.06074347,3.9899013,1
16,9.8793125,6.0065455,1
17,8.812424,5.991207,1
18,1.6221125,3.2710223,1
19,10.352371,5.0747423,1
20,7.238795,6.206461,1
21,0.80890185,4.056293,1
22,10.548286,4.208635,1
23,7.6124735,6.01567,1
24,2.2355523,2.8816187,0
25,1.6067299,3.5608263,1
26,2.9431393,2.2568915,0
27,2.3346088,3.0694606,1
28,3.3731964,1.9945055,0
29,10.780253,3.9684465,1
30,11.253743,4.472042,1
31,2.5566146,2.395733,0
32,10.787934,4.8980637,1
33,3.277271,2.8162103,0
34,10.719249,5.1315804,1
35,9.390245,5.7927613,1
36,1.936468,3.0051117,3
37,9.432117,6.0507646,1
38,3.5294745,2.649842,1
39,3.2790112,2.0247772,0
40,8.908033,5.7750645,1
41,-0.2559854,4.3179016,2
42,0.30879584,4.3518114,1
43,7.346553,6.2225313,1
44,9.349361,6.2643547,0
45,0.40891808,3.9965124,2
46,10.799718,4.44611,1
47,1.1498266,3.88579,1
48,9.039449,5.464296,1
49,11.10424,5.1753693,1
50,-0.048403278,3.918932,0
51,3.0005052,3.2115128,0
52,7.6054826,5.9244237,1
53,7.529618,1.7817582,1
54,0.51710296,3.8609712,1
55,3.4214551,2.8647833,0
56,0.2053333,4.2685785,2
57,2.9905972,2.295565,0
58,11.428809,5.034725,1
59,10.201548,4.2981277,1
60,7.166637,5.9941688,0
61,3.7364988,1.6748159,0
62,8.963508,6.1621966,1
63,7.80057,2.0505157,1
64,2.6300666,2.8349335,1
65,2.3991354,2.4413428,0
66,7.472838,1.6236014,0
67,11.6155205,4.8093653,1
68,1.3381046,3.6101515,1
69,10.975582,3.725633,1
70,9.544235,5.114079,1
71,9.31181,3.7398548,0
72,2.7335634,3.1042724,1
73,9.632475,5.49255,1
74,3.662176,1.7280324,0
75,10.002351,4.7946706,1
76,3.773209,1.959346,0
77,9.252434,5.5293837,1
78,0.0535324,4.240434,1
79,9.744623,4.583151,1
80,7.4073973,1.7053493,1
81,-0.507554,4.077872,1
82,1.3618447,3.8281276,1
83,10.156512,3.607256,1
84,3.1030061,2.6241226,0
85,11.493552,4.9347177,1
86,2.9208024,2.839275,1
87,0.61606085,4.1011386,1
88,10.898588,4.0628033,1
89,9.084608,6.1464972,0
90,9.485115,3.6425433,1
91,0.46790773,4.4486732,1
92,11.214773,4.268596,1
93,7.450692,6.127896,0
94,10.09701,3.6625156,1
95,2.6187348,3.2936904,4
96,9.5443735,5.7383213,1
97,10.379693,5.06037,1
98,-0.18476823,4.473139,2
99,11.4876995,4.0537214,1
100,9.65623,6.2235355,1
