,UMAP 1,UMAP 2,discretized FADY
0,2.9128165,7.084854,1
1,4.8983283,7.30033,1
2,2.0806706,7.232171,1
3,6.682016,3.997781,1
4,3.0162275,4.9711723,1
5,3.0461423,4.959594,1
6,3.7958486,5.337891,1
7,7.8056426,4.123143,1
8,6.670054,6.2580786,2
9,5.9751053,7.7596903,1
10,2.84108,7.805849,1
11,3.137653,8.506588,1
12,2.9305801,5.13838,0
13,3.2882502,7.419102,0
14,3.0396373,7.34515,0
15,4.545299,5.700724,1
16,8.616419,4.2793407,1
17,5.306451,7.1707153,1
18,7.2097063,4.1929045,1
19,5.965254,4.861911,1
20,6.140837,7.9219403,1
21,2.618802,6.8723936,1
22,3.0681455,8.260897,1
23,6.18945,7.52576,1
24,5.9607105,5.147834,0
25,3.7917206,5.8632226,1
26,6.4611425,4.102648,0
27,4.7897496,5.831534,1
28,7.310014,4.614778,0
29,2.4202437,7.6001034,1
30,5.2963433,4.6646266,1
31,7.723471,4.120544,0
32,8.122044,4.1716886,1
33,4.327071,7.2715564,0
34,8.323182,4.0237103,1
35,6.542103,6.090635,1
36,2.0483098,7.366039,3
37,7.5602016,5.133908,1
38,3.991131,7.284839,1
39,5.9350786,4.293632,0
40,4.8460846,7.353672,1
41,6.8258414,6.1881123,2
42,5.510211,4.578982,1
43,6.3481855,7.7854567,1
44,6.665925,6.3636312,0
45,4.2381444,6.2521067,2
46,3.4763155,8.451003,1
47,5.781863,6.0115714,1
48,4.4991384,7.441089,1
49,9.055528,3.9471402,1
50,8.109333,3.7840185,0
51,5.7528954,6.911513,0
52,5.9786816,7.585913,1
53,3.435031,4.944152,1
54,6.157154,4.865766,1
55,4.155459,7.5159354,0
56,6.345196,4.376398,2
57,3.4165893,7.3701434,0
58,7.9504786,3.9944382,1
59,6.389748,4.2826834,1
60,6.041154,8.050364,0
61,8.580004,4.201005,0
62,6.7210026,6.6796517,1
63,3.6007798,5.617434,1
64,3.1941092,7.1882024,1
65,9.046694,3.9483998,0
66,3.0361989,5.121632,0
67,8.952304,4.0442405,1
68,5.861182,5.1802363,1
69,3.199686,8.636923,1
70,4.4247694,5.6465554,1
71,2.403123,6.8805857,0
72,4.6009393,7.1834984,1
73,5.822458,5.5873003,1
74,3.1247606,8.649766,0
75,3.2637124,7.828081,1
76,6.36829,5.401269,0
77,6.8258247,5.763675,1
78,2.6903732,7.482599,1
79,5.556181,4.9499006,1
80,3.1761332,5.005468,1
81,6.46996,6.956656,1
82,4.1603484,5.9984202,1
83,2.7249463,7.5225544,1
84,7.0649276,6.1663184,0
85,9.108251,3.8502557,1
86,6.1621923,5.879883,1
87,6.207874,5.3886595,1
88,2.9546478,8.370697,1
89,6.3457847,6.838117,0
90,5.7891626,4.5137777,1
91,2.1668017,7.2534113,1
92,6.8174386,4.118808,1
93,6.303934,7.9039564,0
94,2.3165648,7.4838037,1
95,8.277024,4.426214,4
96,8.438956,4.637094,1
97,7.932579,4.303754,1
98,6.9827633,5.980586,2
99,7.333739,3.985405,1
100,8.69353,4.4339366,1
