,Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,Profit_Margin,Return_on_Equity,5_Year_Average_Dividend_Yield,discretized FADY
0,0.0308067074090882,-0.5465677148756493,0.7804195077354459,-0.0680039055947013,-1.5516806421923297,1
1,-0.2200351401700013,0.4294591471752105,0.272935957633075,0.4721113560940383,0.0764585902438773,1
2,-0.263832923080636,-0.5465677148756493,2.6612053671434848,0.200429866627583,-1.1252589124113712,1
3,-0.4038358541683366,-0.5465677148756493,-0.3306092358261578,-0.2289978889843134,-1.075433187033728,1
4,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.125269777002122,-0.7335269972210728,1
5,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.125269777002122,-0.7335269972210728,1
6,1.9598999637911343,-0.5465677148756493,-0.7041120728255366,-0.2101081050131156,-0.4129803925129674,1
7,-0.271796156337115,-0.5465677148756493,-0.8734839176915831,-0.2906382366798009,-0.940713763258826,1
8,-0.6507133387912425,1.373105971148554,-0.1934686002443216,-0.2331072454973459,1.2931862962042688,2
9,0.1356559452860622,0.8596510816336466,0.8493058177742483,0.5936687729472903,0.9342953901296208,1
10,-0.2352980039115861,0.2860618356890653,0.7696757713073759,-0.2321793262847256,-0.0548429607590425,1
11,-0.4173049996188996,-0.5465677148756493,0.4827548102283267,-0.2260152915151769,-1.1781448701499668,1
12,4.99853705390926,-0.324533168058392,0.6666622984970564,0.8465267583863062,-0.9389400708453702,0
13,-0.0846601748098577,-0.1857615762976062,0.7007894612685733,0.025251975273633,-0.6588300953724744,0
14,-0.1516840547185562,-0.2643988116287182,0.8644734456727003,0.212360256504129,-0.8864194504442022,0
15,0.3858341900937785,1.548883320712216,-0.1049907708366854,-0.1849880063286104,0.6366785411896692,1
16,-0.3812906136137018,-0.5465677148756493,-1.7942853280267688,-0.8263790220804739,-1.0009294582363673,1
17,-0.3248843780469753,-0.5465677148756493,0.1509629499496908,0.2158730935233342,-1.236556919785322,1
18,-0.2711325535657418,0.5543535797599177,-0.4993490961964354,-0.217133779051526,1.118117561533709,1
19,-0.3726637775858495,-0.5465677148756493,-0.0082971429840542,-0.2220384948896615,-1.120913342908533,1
20,-0.0196271032152789,-0.5465677148756493,0.6913096938320408,2.014975886906468,-0.8527597518603285,1
21,0.4521944672311038,0.2768103962383463,1.5514405925734192,0.1065774662654214,1.0305831941984287,1
22,-0.3895398596646427,-0.5465677148756493,0.6104156783736306,-0.0750958595768703,-1.2093959028506935,1
23,-0.2518880731959175,-0.5465677148756493,-0.389383793932659,-0.0281033794520309,-0.8917297165390091,1
