,Payout_Ratio,Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,Profit_Margin,Return_on_Equity,discretized FADY
0,-0.8201327901782199,0.0308067074090882,-0.5465677148756493,0.7804195077354459,-0.0680039055947013,1
1,1.5409466892618071,-0.2200351401700013,0.4294591471752105,0.272935957633075,0.4721113560940383,1
2,-0.8201327901782199,-0.263832923080636,-0.5465677148756493,2.6612053671434848,0.200429866627583,1
3,-0.8201327901782199,-0.4038358541683366,-0.5465677148756493,-0.3306092358261578,-0.2289978889843134,1
4,-0.8201327901782199,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.125269777002122,1
5,-0.8201327901782199,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.125269777002122,1
6,-0.8201327901782199,1.9598999637911343,-0.5465677148756493,-0.7041120728255366,-0.2101081050131156,1
7,-0.8201327901782199,-0.271796156337115,-0.5465677148756493,-0.8734839176915831,-0.2906382366798009,1
8,2.207758795530067,-0.6507133387912425,1.373105971148554,-0.1934686002443216,-0.2331072454973459,2
9,1.5357776031667043,0.1356559452860622,0.8596510816336466,0.8493058177742483,0.5936687729472903,1
10,1.2073418251240196,-0.2352980039115861,0.2860618356890653,0.7696757713073759,-0.2321793262847256,1
11,-0.8201327901782199,-0.4173049996188996,-0.5465677148756493,0.4827548102283267,-0.2260152915151769,1
12,-0.2105782529634066,4.99853705390926,-0.324533168058392,0.6666622984970564,0.8465267583863062,0
13,-0.2515333197169133,-0.0846601748098577,-0.1857615762976062,0.7007894612685733,0.025251975273633,0
14,0.3842642699807295,-0.1516840547185562,-0.2643988116287182,0.8644734456727003,0.212360256504129,0
15,2.230423249947056,0.3858341900937785,1.548883320712216,-0.1049907708366854,-0.1849880063286104,1
16,-0.8201327901782199,-0.3812906136137018,-0.5465677148756493,-1.7942853280267688,-0.8263790220804739,1
17,-0.8201327901782199,-0.3248843780469753,-0.5465677148756493,0.1509629499496908,0.2158730935233342,1
