,Profit_Margin,Return_on_Equity,Total_Debt/Equity_(mrq),Total_Cash_(mrq),Operating_Cash_Flow,discretized FADY
0,0.7804195077354459,-0.0680039055947013,-0.4166497467863072,-0.1940246514371787,-0.1254458946423101,1
1,0.272935957633075,0.4721113560940383,0.0161775920406641,-0.3580524281707465,-0.3088779292575805,1
2,2.6612053671434848,0.200429866627583,-0.4200603149792703,-0.1009131742154835,-0.2888354741689761,1
3,-0.3306092358261578,-0.2289978889843134,-0.5353375199014252,-0.3629245403509515,-0.4368189413156865,1
4,0.4865467172029398,-0.125269777002122,-0.4944107015858672,2.8488800779997336,4.162332377682811,1
5,0.4865467172029398,-0.125269777002122,-0.4944107015858672,2.8488800779997336,4.162332377682811,1
6,-0.7041120728255366,-0.2101081050131156,-0.0766423330878255,1.3393373208328896,2.646512785220755,1
7,-0.8734839176915831,-0.2906382366798009,-0.5255255775616697,-0.2411217358458269,-0.3947119217022558,1
8,-0.1934686002443216,-0.2331072454973459,0.3340950179047227,-0.3822965997252443,-0.2910140018959983,2
9,0.8493058177742483,0.5936687729472903,3.591292582744327,0.5427469793693748,-0.0143409805641771,1
10,0.7696757713073759,-0.2321793262847256,-0.4428848867321777,-0.371638583658147,-0.2653073747171362,1
11,0.4827548102283267,-0.2260152915151769,-0.4609871332948282,-0.3802608688526153,-0.4466319016092854,1
12,0.6666622984970564,0.8465267583863062,0.4934997282158317,1.268421021321017,4.340971651298633,0
13,0.7007894612685733,0.025251975273633,-0.3744111714734556,-0.2116183898656967,-0.0962536231002124,0
14,0.8644734456727003,0.212360256504129,-0.3340090559568151,-0.2627755677578491,-0.1441812330947011,0
15,-0.1049907708366854,-0.1849880063286104,-0.1362485710448433,-0.2592568200721455,-0.0239265025630749,1
16,-1.7942853280267688,-0.8263790220804739,0.3102210405539806,-0.3361279233598241,-0.4342465357756186,1
17,0.1509629499496908,0.2158730935233342,0.384676367720361,-0.3447894561246329,-0.3973261549746824,1
18,-0.4993490961964354,-0.217133779051526,-0.3235149999784669,-0.2825346893775693,-0.3432986673445315,1
19,-0.0082971429840542,-0.2220384948896615,-0.2733009421220708,-0.3355865775620235,-0.4160614934270734,1
20,0.6913096938320408,2.014975886906468,5.042108980811822,-0.0207939961410015,-0.1193460170066479,1
21,1.5514405925734192,0.1065774662654214,0.3183014636573087,-0.0968530807319793,0.3124381784891549,1
22,0.6104156783736306,-0.0750958595768703,-0.4435145300908785,-0.3715324798817781,-0.4169329045178823,1
23,-0.389383793932659,-0.0281033794520309,2.9379326575323685,-0.3821152488829811,0.1503557155987021,1
24,0.0378377252070702,-0.0425524071914032,-0.2102841359720898,-0.3951852311521788,-0.403861738155749,0
25,0.5459532598052097,-0.0825192132778322,-0.4515949531942066,0.2493375569614747,0.3215879949426482,1
26,-0.2535071273423605,-0.181674009140681,-0.4939909393467334,-0.3334211943708213,-0.3751051721590558,0
27,-0.1410138870955087,-0.1738529757771675,0.0921020870440133,-0.2235279974173089,0.7647005346189665,1
28,-0.5284203830018017,-0.1991056343491899,-0.196274571240995,-0.3464134935180346,-0.6731277652156947,0
29,1.1615061586840507,-0.1376641264849781,-0.5420537157275681,-0.3263836989994141,-0.4130115546092424,1
30,0.1326353995723947,-0.2547807871064044,-0.4725305948710113,-0.2560087452853422,-0.4523984645027132,1
31,-0.7685744913939572,-0.1106881893752324,-0.3322250664404959,0.0146641536149346,0.0070085911606405,0
32,-0.959433809116144,-0.2983267101557972,-0.3504847238428217,-0.3117673624587992,-0.4278255431529934,1
33,0.720380980637407,-0.0878216087785193,0.2858748306842127,-0.3585937739685471,-0.2396007475382741,0
34,-1.041591793566092,-0.3079373020007926,-0.2949711677173598,-0.3342332130675222,-0.4511719533923997,1
35,-0.2326516389819891,-0.1710692181393068,0.0762035922368158,-0.3098726521664972,-0.4427528151385496,1
36,1.6702536777779589,-0.1522457141118676,-0.353265648677084,-0.375186022671134,-0.2252224645399275,3
37,-0.6851525379524716,-0.2038777902998083,0.0703793911688326,-0.3855365543250806,-0.3746694666136514,1
38,0.7728356937862199,0.0419545211007974,0.1757921834713402,-0.1615439035691455,-0.3450414895261492,1
39,-0.106254739828223,-0.2075231872065306,-0.3985475002236565,-0.3353159046631233,-0.3790265220676958,0
40,0.3993328567868411,0.1733213696303202,0.1279917584899641,-0.3493908954059376,-0.4354486473753895,1
41,-0.288898259105415,-0.2364212426852753,0.3374531158177942,-0.3893692825735085,-0.3001638183494917,2
42,0.0511093996182157,-0.066280627056978,-0.4712713081536095,-0.3895181526679037,-0.4151900823362646,1
43,0.4732750427917943,-0.1208737090963006,6.927510389100895,-0.3117673624587992,-0.3764122887952691,1
44,-0.3697922745638253,-0.196984676148915,0.2105275087596728,-0.3323385027752202,-0.3842549886125491,0
45,0.4227162831302878,-0.1147312659445064,0.0364835903587678,-0.1818443709866663,-0.1093247894623457,2
46,0.2343849033911764,-0.1994370340679828,-0.4211621908569968,-0.3193462036280069,-0.3912262773390202,1
47,0.0068704849143975,-0.0933228441104822,0.0756788894378984,-0.1829270625822674,-0.2683573135349673,1
48,0.5162499885040748,0.3218547235933177,-0.0915963628569718,-0.3885924513536647,-0.4391499659836003,1
49,-2.5254913896313056,-0.4112677343204324,-0.3507470752422805,-0.3723168899427911,-0.4578456552313595,1
50,-1.1294376384779594,-0.3037616655440015,-0.3101875488859647,0.2799235945372059,0.1586341209613866,0
51,0.1749783607889065,-0.1894950425041945,0.5109839699761244,-0.3512279714078423,-0.2740214856252251,0
