,Return_on_Equity,Payout_Ratio,Operating_Cash_Flow,Total_Debt/Equity_(mrq),Total_Cash_(mrq),discretized FADY
0,-0.0680039055947013,-0.8201327901782199,-0.1254458946423101,-0.4166497467863072,-0.1940246514371787,1
1,0.4721113560940383,1.5409466892618071,-0.3088779292575805,0.0161775920406641,-0.3580524281707465,1
2,0.200429866627583,-0.8201327901782199,-0.2888354741689761,-0.4200603149792703,-0.1009131742154835,1
3,-0.2289978889843134,-0.8201327901782199,-0.4368189413156865,-0.5353375199014252,-0.3629245403509515,1
4,-0.125269777002122,-0.8201327901782199,4.162332377682811,-0.4944107015858672,2.8488800779997336,1
5,-0.125269777002122,-0.8201327901782199,4.162332377682811,-0.4944107015858672,2.8488800779997336,1
6,-0.2101081050131156,-0.8201327901782199,2.646512785220755,-0.0766423330878255,1.3393373208328896,1
7,-0.2906382366798009,-0.8201327901782199,-0.3947119217022558,-0.5255255775616697,-0.2411217358458269,1
8,-0.2331072454973459,2.207758795530067,-0.2910140018959983,0.3340950179047227,-0.3822965997252443,2
9,0.5936687729472903,1.5357776031667043,-0.0143409805641771,3.591292582744327,0.5427469793693748,1
10,-0.2321793262847256,1.2073418251240196,-0.2653073747171362,-0.4428848867321777,-0.371638583658147,1
11,-0.2260152915151769,-0.8201327901782199,-0.4466319016092854,-0.4609871332948282,-0.3802608688526153,1
12,0.8465267583863062,-0.2105782529634066,4.340971651298633,0.4934997282158317,1.268421021321017,0
13,0.025251975273633,-0.2515333197169133,-0.0962536231002124,-0.3744111714734556,-0.2116183898656967,0
14,0.212360256504129,0.3842642699807295,-0.1441812330947011,-0.3340090559568151,-0.2627755677578491,0
15,-0.1849880063286104,2.230423249947056,-0.0239265025630749,-0.1362485710448433,-0.2592568200721455,1
16,-0.8263790220804739,-0.8201327901782199,-0.4342465357756186,0.3102210405539806,-0.3361279233598241,1
17,0.2158730935233342,-0.8201327901782199,-0.3973261549746824,0.384676367720361,-0.3447894561246329,1
18,-0.217133779051526,1.0133022855540073,-0.3432986673445315,-0.3235149999784669,-0.2825346893775693,1
19,-0.2220384948896615,-0.8201327901782199,-0.4160614934270734,-0.2733009421220708,-0.3355865775620235,1
20,2.014975886906468,-0.8201327901782199,-0.1193460170066479,5.042108980811822,-0.0207939961410015,1
21,0.1065774662654214,1.3982003886355068,0.3124381784891549,0.3183014636573087,-0.0968530807319793,1
22,-0.0750958595768703,-0.8201327901782199,-0.4169329045178823,-0.4435145300908785,-0.3715324798817781,1
23,-0.0281033794520309,-0.8201327901782199,0.1503557155987021,2.9379326575323685,-0.3821152488829811,1
24,-0.0425524071914032,0.614885034223777,-0.403861738155749,-0.2102841359720898,-0.3951852311521788,0
25,-0.0825192132778322,1.0419310700807305,0.3215879949426482,-0.4515949531942066,0.2493375569614747,1
26,-0.181674009140681,0.2852563901591454,-0.3751051721590558,-0.4939909393467334,-0.3334211943708213,0
27,-0.1738529757771675,0.4423170830488069,0.7647005346189665,0.0921020870440133,-0.2235279974173089,1
28,-0.1991056343491899,-0.0670367083224753,-0.6731277652156947,-0.196274571240995,-0.3464134935180346,0
29,-0.1376641264849781,-0.8201327901782199,-0.4130115546092424,-0.5420537157275681,-0.3263836989994141,1
30,-0.2547807871064044,-0.8201327901782199,-0.4523984645027132,-0.4725305948710113,-0.2560087452853422,1
31,-0.1106881893752324,0.2582180936616847,0.0070085911606405,-0.3322250664404959,0.0146641536149346,0
32,-0.2983267101557972,-0.8201327901782199,-0.4278255431529934,-0.3504847238428217,-0.3117673624587992,1
33,-0.0878216087785193,0.0844572764647678,-0.2396007475382741,0.2858748306842127,-0.3585937739685471,0
34,-0.3079373020007926,-0.8201327901782199,-0.4511719533923997,-0.2949711677173598,-0.3342332130675222,1
35,-0.1710692181393068,-0.8201327901782199,-0.4427528151385496,0.0762035922368158,-0.3098726521664972,1
36,-0.1522457141118676,0.7313882823672476,-0.2252224645399275,-0.353265648677084,-0.375186022671134,3
37,-0.2038777902998083,-0.8201327901782199,-0.3746694666136514,0.0703793911688326,-0.3855365543250806,1
38,0.0419545211007974,-0.045565119927433,-0.3450414895261492,0.1757921834713402,-0.1615439035691455,1
39,-0.2075231872065306,0.0124876931406444,-0.3790265220676958,-0.3985475002236565,-0.3353159046631233,0
40,0.1733213696303202,-0.8201327901782199,-0.4354486473753895,0.1279917584899641,-0.3493908954059376,1
41,-0.2364212426852753,1.8013891040535248,-0.3001638183494917,0.3374531158177942,-0.3893692825735085,2
42,-0.066280627056978,1.91113277807263,-0.4151900823362646,-0.4712713081536095,-0.3895181526679037,1
43,-0.1208737090963006,-0.8201327901782199,-0.3764122887952691,6.927510389100895,-0.3117673624587992,1
44,-0.196984676148915,-0.7493560728760432,-0.3842549886125491,0.2105275087596728,-0.3323385027752202,0
45,-0.1147312659445064,1.7170932385026176,-0.1093247894623457,0.0364835903587678,-0.1818443709866663,2
