Ticker,Sector,Forward_Annual_Dividend_Yield,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Payout_Ratio,Profit_Margin,Return_on_Equity,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,Levered_Free_Cash_Flow,Stock_Price,Market_Cap
GILD,Health Care,3.71,3.69,3.95,63.81,21.45,26.92,7970000000.0,112.32,8400000000.0,9220000000.0,81.29,100710000000.0
GFS,Information Technology,,0.0,,0.0,18.47,14.14,2890000000.0,25.1,1930000000.0,-1600000000.0,55.95,31150000000.0
HON,Industrials,2.14,2.04,1.99,51.05,14.87,30.15,7930000000.0,119.79,4750000000.0,4130000000.0,201.78,132850000000.0
IDXX,Health Care,,0.0,,0.0,22.93,92.79,331700000.0,87.91,830090000.0,586360000.0,548.97,45270000000.0
ILMN,Health Care,,0.0,,0.0,-25.2,-17.82,933000000.0,38.52,401000000.0,393500000.0,122.93,18680000000.0
INTC,Information Technology,1.14,2.23,2.99,75.26,-3.11,-1.6,25030000000.0,46.25,14550000000.0,-4480000000.0,43.88,185670000000.0
INTU,Information Technology,0.61,0.55,0.64,35.49,17.53,15.64,,,4620000000.0,4290000000.0,596.94,166330000000.0
ISRG,Health Care,,0.0,,0.0,22.14,12.76,6480000000.0,,2020000000.0,1290000000.0,324.36,112910000000.0
JD,Consumer Discretionary,2.46,16.98,,28.33,2.22,8.66,242350000000.0,23.58,58390000000.0,24010000000.0,24.75,40450000000.0
KDP,Consumer Staples,2.63,2.49,2.21,59.49,13.16,7.69,260000000.0,57.87,1770000000.0,1080000000.0,32.76,45680000000.0
KLAC,Information Technology,1.03,0.93,1.53,23.26,30.51,121.86,3350000000.0,202.86,3540000000.0,2740000000.0,562.0,76260000000.0
KHC,Consumer Staples,4.29,4.29,4.93,66.12,11.0,6.09,1050000000.0,40.27,3570000000.0,2430000000.0,37.26,45700000000.0
LRCX,Information Technology,1.09,0.98,1.39,24.34,25.08,51.39,5160000000.0,61.94,4940000000.0,3580000000.0,729.24,96370000000.0
LCID,Consumer Discretionary,,0.0,,0.0,0.0,-61.3,4420000000.0,44.51,-2660000000.0,-2380000000.0,4.225,9660000000.0
LULU,Consumer Discretionary,,0.0,,0.0,10.89,30.48,1090000000.0,33.13,1960000000.0,1170000000.0,496.41,63560000000.0
MAR,Consumer Discretionary,0.96,0.85,1.29,19.51,47.47,1446.77,717000000.0,,2860000000.0,2180000000.0,215.3,63690000000.0
MRVL,Information Technology,0.44,0.44,0.65,11.01,-10.11,-3.61,725600000.0,29.03,1180000000.0,1480000000.0,55.54,46910000000.0
MELI,Consumer Discretionary,,0.0,0.34,0.0,7.47,45.15,5490000000.0,191.17,4750000000.0,3510000000.0,1589.84,81750000000.0
META,Communication Services,,0.0,,0.0,23.42,22.27,61120000000.0,25.81,66220000000.0,29440000000.0,335.12,858900000000.0
MCHP,Information Technology,1.78,1.66,1.46,32.43,28.14,38.52,256600000.00000003,87.65,3600000000.0,2040000000.0,88.56,48280000000.0
MU,Information Technology,0.59,0.59,0.33,31.56,-37.53,-12.41,9590000000.0,31.73,1560000000.0,-5130000000.0,78.76,86270000000.0
MSFT,Information Technology,0.8,0.75,1.01,26.36,35.31,39.11,143950000000.0,47.88,94970000000.0,50420000000.0,374.29,
MRNA,Health Care,,0.0,,0.0,-38.0,-22.04,7570000000.0,10.81,-2080000000.0,-1110000000.0,73.99,29760000000.0
MDLZ,Consumer Staples,2.35,2.19,2.11,47.31,12.97,16.67,1610000000.0,71.61,4540000000.0,4390000000.0,72.82,98350000000.0
MNST,Consumer Staples,,0.0,,0.0,22.62,21.32,3010000000.0,0.69,1580000000.0,941280000.0,55.99,58060000000.0
NFLX,Communication Services,,0.0,,0.0,13.82,21.23,7870000000.0,75.83,6060000000.0,18030000000.0,472.82,202650000000.0
NVDA,Information Technology,0.03,0.03,0.16,2.11,42.1,69.17,18280000000.0,33.15,18840000000.0,14110000000.0,483.0,
NXPI,Information Technology,1.85,1.77,1.29,36.06,21.43,35.26,4040000000.0,126.98,3450000000.0,1680000000.0,218.97,56480000000.0
ORLY,Consumer Discretionary,,0.0,,0.0,14.86,,82660000.0,,3310000000.0,1720000000.0,981.52,57550000000.0
ODFL,Industrials,0.42,0.39,0.34,13.35,21.16,32.56,206600000.0,1.97,1490000000.0,337840000.0,379.93,41710000000.0
ON,Information Technology,,0.0,,0.0,26.69,33.79,2680000000.0,49.85,2100000000.0,251520000.0,78.82,33760000000.0
PCAR,Industrials,1.11,1.04,1.53,12.98,12.01,28.39,7440000000.0,81.18,4250000000.0,-70200000.0,97.28,51070000000.0
PANW,Information Technology,,0.0,,0.0,8.52,45.84,3890000000.0,102.4,3070000000.0,2400000000.0,310.2,96350000000.0
PAYX,Industrials,2.81,2.65,2.72,76.19,31.4,47.5,1690000000.0,24.17,1990000000.0,1680000000.0,126.58,45720000000.0
PYPL,Financials,,0.0,,0.0,12.93,18.82,11550000000.0,56.92,3820000000.0,4480000000.0,59.33,63490000000.0
PDD,Consumer Discretionary,,0.0,,0.0,24.96,34.92,179510000000.0,12.57,62940000000.0,54080000000.0,147.36,195540000000.0
PEP,Consumer Staples,2.94,2.87,2.75,80.5,9.05,43.91,10280000000.0,236.02,12140000000.0,6290000000.0,169.16,231620000000.0
QCOM,Information Technology,2.34,2.27,2.53,47.55,20.19,37.07,11320000000.0,74.45,11300000000.0,9820000000.0,136.59,152120000000.0
REGN,Health Care,,0.0,,0.0,30.47,17.22,9910000000.0,10.85,5220000000.0,3530000000.0,874.59,94100000000.0
ROST,Consumer Discretionary,0.99,0.97,0.95,26.09,8.75,39.22,4500000000.0,126.12,2780000000.0,1580000000.0,136.11,45600000000.0
SGEN,Health Care,,0.0,,0.0,-32.61,-27.93,1240000000.0,4.89,-540150000.0,-277090000.0,228.95,43180000000.0
SIRI,Communication Services,2.01,1.83,1.19,30.25,14.2,,53000000.0,,1960000000.0,1050000000.0,5.24,20350000000.0
SBUX,Consumer Discretionary,2.32,2.2,1.91,59.22,11.47,,3950000000.0,,6010000000.0,2660000000.0,97.29,111570000000.0
SNPS,Information Technology,,0.0,,0.0,21.05,20.75,1590000000.0,11.12,1700000000.0,1330000000.0,565.03,86220000000.0
