,Levered_Free_Cash_Flow,Return_on_Equity,Total_Debt/Equity_(mrq),Total_Cash_(mrq),Profit_Margin,discretized FADY
0,0.0308067074090882,-0.0680039055947013,-0.4166497467863072,-0.1940246514371787,0.7804195077354459,1
1,-0.2200351401700013,0.4721113560940383,0.0161775920406641,-0.3580524281707465,0.272935957633075,1
2,-0.263832923080636,0.200429866627583,-0.4200603149792703,-0.1009131742154835,2.6612053671434848,1
3,-0.4038358541683366,-0.2289978889843134,-0.5353375199014252,-0.3629245403509515,-0.3306092358261578,1
4,4.240702689001004,-0.125269777002122,-0.4944107015858672,2.8488800779997336,0.4865467172029398,1
5,4.240702689001004,-0.125269777002122,-0.4944107015858672,2.8488800779997336,0.4865467172029398,1
6,1.9598999637911343,-0.2101081050131156,-0.0766423330878255,1.3393373208328896,-0.7041120728255366,1
7,-0.271796156337115,-0.2906382366798009,-0.5255255775616697,-0.2411217358458269,-0.8734839176915831,1
8,-0.6507133387912425,-0.2331072454973459,0.3340950179047227,-0.3822965997252443,-0.1934686002443216,2
9,0.1356559452860622,0.5936687729472903,3.591292582744327,0.5427469793693748,0.8493058177742483,1
10,-0.2352980039115861,-0.2321793262847256,-0.4428848867321777,-0.371638583658147,0.7696757713073759,1
11,-0.4173049996188996,-0.2260152915151769,-0.4609871332948282,-0.3802608688526153,0.4827548102283267,1
12,4.99853705390926,0.8465267583863062,0.4934997282158317,1.268421021321017,0.6666622984970564,0
13,-0.0846601748098577,0.025251975273633,-0.3744111714734556,-0.2116183898656967,0.7007894612685733,0
14,-0.1516840547185562,0.212360256504129,-0.3340090559568151,-0.2627755677578491,0.8644734456727003,0
15,0.3858341900937785,-0.1849880063286104,-0.1362485710448433,-0.2592568200721455,-0.1049907708366854,1
16,-0.3812906136137018,-0.8263790220804739,0.3102210405539806,-0.3361279233598241,-1.7942853280267688,1
17,-0.3248843780469753,0.2158730935233342,0.384676367720361,-0.3447894561246329,0.1509629499496908,1
18,-0.2711325535657418,-0.217133779051526,-0.3235149999784669,-0.2825346893775693,-0.4993490961964354,1
19,-0.3726637775858495,-0.2220384948896615,-0.2733009421220708,-0.3355865775620235,-0.0082971429840542,1
20,-0.0196271032152789,2.014975886906468,0.33918735627928465,-0.0207939961410015,0.6913096938320408,1
21,0.4521944672311038,0.1065774662654214,0.3183014636573087,-0.0968530807319793,1.5514405925734192,1
22,-0.3895398596646427,-0.0750958595768703,-0.4435145300908785,-0.3715324798817781,0.6104156783736306,1
23,-0.2518880731959175,-0.0281033794520309,2.9379326575323685,-0.3821152488829811,-0.389383793932659,1
24,-0.381954216385075,-0.0425524071914032,-0.2102841359720898,-0.3951852311521788,0.0378377252070702,0
25,0.6293764071877623,-0.0825192132778322,-0.4515949531942066,0.2493375569614747,0.5459532598052097,1
26,-0.3228935697328555,-0.181674009140681,-0.4939909393467334,-0.3334211943708213,-0.2535071273423605,0
27,0.3367275850121578,-0.1738529757771675,0.0921020870440133,-0.2235279974173089,-0.1410138870955087,1
28,-0.4956791413291662,-0.1991056343491899,-0.196274571240995,-0.3464134935180346,-0.5284203830018017,0
29,-0.4119032730599213,-0.1376641264849781,-0.5420537157275681,-0.3263836989994141,1.1615061586840507,1
30,-0.4266180009123518,-0.2547807871064044,-0.4725305948710113,-0.2560087452853422,0.1326353995723947,1
31,-0.0926234080663367,-0.1106881893752324,-0.3322250664404959,0.0146641536149346,-0.7685744913939572,0
32,-0.3879266413274343,-0.2983267101557972,-0.3504847238428217,-0.3117673624587992,-0.959433809116144,1
33,-0.2936950477924324,-0.0878216087785193,0.2858748306842127,-0.3585937739685471,0.720380980637407,0
34,-0.4200669143533551,-0.3079373020007926,-0.2949711677173598,-0.3342332130675222,-1.041591793566092,1
35,-0.4153858604040881,-0.1710692181393068,0.0762035922368158,-0.3098726521664972,-0.2326516389819891,1
36,-0.4584510258551267,-0.1522457141118676,-0.353265648677084,-0.375186022671134,1.6702536777779589,3
37,-0.4265124880717035,-0.2038777902998083,0.0703793911688326,-0.3855365543250806,-0.6851525379524716,1
38,-0.2452520454821849,0.0419545211007974,0.1757921834713402,-0.1615439035691455,0.7728356937862199,1
39,-0.3268751863610951,-0.2075231872065306,-0.3985475002236565,-0.3353159046631233,-0.106254739828223,0
40,-0.418985905438788,0.1733213696303202,0.1279917584899641,-0.3493908954059376,0.3993328567868411,1
41,-0.6991563411014899,-0.2364212426852753,0.3374531158177942,-0.3893692825735085,-0.288898259105415,2
42,-0.3879266413274343,-0.066280627056978,-0.4712713081536095,-0.3895181526679037,0.0511093996182157,1
43,-0.3434652556454264,-0.11462143067232107,6.927510389100895,-0.3117673624587992,0.4732750427917943,1
44,-0.2930314450210591,-0.196984676148915,0.2105275087596728,-0.3323385027752202,-0.3697922745638253,0
45,0.1568912339700063,-0.1147312659445064,0.0364835903587678,-0.1818443709866663,0.4227162831302878,2
46,-0.5611269646558533,-0.1994370340679828,-0.4211621908569968,-0.3193462036280069,0.2343849033911764,1
47,-0.1808825766589794,-0.0933228441104822,0.0756788894378984,-0.1829270625822674,0.0068704849143975,1
48,-0.4160395091338908,0.3218547235933177,-0.0915963628569718,-0.3885924513536647,0.5162499885040748,1
49,-0.4288377521825953,-0.4112677343204324,-0.3507470752422805,-0.3723168899427911,-2.5254913896313056,1
50,-0.7522445628113502,-0.3037616655440015,-0.3101875488859647,0.2799235945372059,-1.1294376384779594,0
51,-0.1702649323170073,-0.1894950425041945,-0.13610035607251392,-0.20194174956128835,0.1749783607889065,0
