,Operating_Cash_Flow,Total_Cash_(mrq),Return_on_Equity,Trailing_Annual_Dividend_Yield,Total_Debt/Equity_(mrq),discretized FADY
0,-0.1254458946423101,-0.1940246514371787,-0.0680039055947013,-0.5465677148756493,-0.4166497467863072,1
1,-0.3088779292575805,-0.3580524281707465,0.4721113560940383,0.4294591471752105,0.0161775920406641,1
2,-0.2888354741689761,-0.1009131742154835,0.200429866627583,-0.5465677148756493,-0.4200603149792703,1
3,-0.4368189413156865,-0.3629245403509515,-0.2289978889843134,-0.5465677148756493,-0.5353375199014252,1
4,4.162332377682811,2.8488800779997336,-0.125269777002122,-0.5465677148756493,-0.4944107015858672,1
5,4.162332377682811,2.8488800779997336,-0.125269777002122,-0.5465677148756493,-0.4944107015858672,1
6,2.646512785220755,1.3393373208328896,-0.2101081050131156,-0.5465677148756493,-0.0766423330878255,1
7,-0.3947119217022558,-0.2411217358458269,-0.2906382366798009,-0.5465677148756493,-0.5255255775616697,1
8,-0.2910140018959983,-0.3822965997252443,-0.2331072454973459,1.373105971148554,0.3340950179047227,2
9,-0.0143409805641771,0.5427469793693748,0.5936687729472903,0.8596510816336466,3.591292582744327,1
10,-0.2653073747171362,-0.371638583658147,-0.2321793262847256,0.2860618356890653,-0.4428848867321777,1
11,-0.4466319016092854,-0.3802608688526153,-0.2260152915151769,-0.5465677148756493,-0.4609871332948282,1
12,4.340971651298633,1.268421021321017,0.8465267583863062,-0.324533168058392,0.4934997282158317,0
13,-0.0962536231002124,-0.2116183898656967,0.025251975273633,-0.1857615762976062,-0.3744111714734556,0
14,-0.1441812330947011,-0.2627755677578491,0.212360256504129,-0.2643988116287182,-0.3340090559568151,0
15,-0.0239265025630749,-0.2592568200721455,-0.1849880063286104,1.548883320712216,-0.1362485710448433,1
16,-0.4342465357756186,-0.3361279233598241,-0.8263790220804739,-0.5465677148756493,0.3102210405539806,1
17,-0.3973261549746824,-0.3447894561246329,0.2158730935233342,-0.5465677148756493,0.384676367720361,1
18,-0.3432986673445315,-0.2825346893775693,-0.217133779051526,0.5543535797599177,-0.3235149999784669,1
19,-0.4160614934270734,-0.3355865775620235,-0.2220384948896615,-0.5465677148756493,-0.2733009421220708,1
20,-0.1193460170066479,-0.0207939961410015,2.014975886906468,-0.5465677148756493,5.042108980811822,1
21,0.3124381784891549,-0.0968530807319793,0.1065774662654214,0.2768103962383463,0.3183014636573087,1
22,-0.4169329045178823,-0.3715324798817781,-0.0750958595768703,-0.5465677148756493,-0.4435145300908785,1
23,0.1503557155987021,-0.3821152488829811,-0.0281033794520309,-0.5465677148756493,2.9379326575323685,1
24,-0.403861738155749,-0.3951852311521788,-0.0425524071914032,-0.1533815382200896,-0.2102841359720898,0
25,0.3215879949426482,0.2493375569614747,-0.0825192132778322,0.9059082788872418,-0.4515949531942066,1
26,-0.3751051721590558,-0.3334211943708213,-0.181674009140681,0.1981731609072344,-0.4939909393467334,0
27,0.7647005346189665,-0.2235279974173089,-0.1738529757771675,0.688499451795344,0.0921020870440133,1
28,-0.6731277652156947,-0.3464134935180346,-0.1991056343491899,-0.14875581849473,-0.196274571240995,0
29,-0.4130115546092424,-0.3263836989994141,-0.1376641264849781,-0.5465677148756493,-0.5420537157275681,1
30,-0.4523984645027132,-0.2560087452853422,-0.2547807871064044,-0.5465677148756493,-0.4725305948710113,1
31,0.0070085911606405,0.0146641536149346,-0.1106881893752324,-0.2643988116287182,-0.3322250664404959,0
32,-0.4278255431529934,-0.3117673624587992,-0.2983267101557972,-0.5465677148756493,-0.3504847238428217,1
33,-0.2396007475382741,-0.3585937739685471,-0.0878216087785193,0.0501501296957295,0.2858748306842127,0
34,-0.4511719533923997,-0.3342332130675222,-0.3079373020007926,-0.5465677148756493,-0.2949711677173598,1
35,-0.4427528151385496,-0.3098726521664972,-0.1710692181393068,-0.5465677148756493,0.0762035922368158,1
36,-0.2252224645399275,-0.375186022671134,-0.1522457141118676,1.9513209368184947,-0.353265648677084,3
37,-0.3746694666136514,-0.3855365543250806,-0.2038777902998083,-0.5465677148756493,0.0703793911688326,1
38,-0.3450414895261492,-0.1615439035691455,0.0419545211007974,0.5451021403091987,0.1757921834713402,1
39,-0.3790265220676958,-0.3353159046631233,-0.2075231872065306,-0.2967788497062348,-0.3985475002236565,0
40,-0.4354486473753895,-0.3493908954059376,0.1733213696303202,-0.5465677148756493,0.1279917584899641,1
41,-0.3001638183494917,-0.3893692825735085,-0.2364212426852753,1.11869138625378,0.3374531158177942,2
42,-0.4151900823362646,-0.3895181526679037,-0.066280627056978,0.4387105866259296,-0.4712713081536095,1
43,-0.3764122887952691,-0.3117673624587992,-0.1208737090963006,-0.5465677148756493,6.927510389100895,1
44,-0.3842549886125491,-0.3323385027752202,-0.196984676148915,-0.491059078171335,0.2105275087596728,0
45,-0.1093247894623457,-0.1818443709866663,-0.1147312659445064,1.1603228637820155,0.0364835903587678,2
46,-0.3912262773390202,-0.3193462036280069,-0.1994370340679828,-0.5465677148756493,-0.4211621908569968,1
47,-0.2683573135349673,-0.1829270625822674,-0.0933228441104822,0.3970791090976939,0.0756788894378984,1
48,-0.4391499659836003,-0.3885924513536647,0.3218547235933177,-0.5465677148756493,-0.0915963628569718,1
49,-0.4578456552313595,-0.3723168899427911,-0.4112677343204324,-0.5465677148756493,-0.3507470752422805,1
50,0.1586341209613866,0.2799235945372059,-0.3037616655440015,0.4849677838795249,-0.3101875488859647,0
51,-0.2740214856252251,-0.3512279714078423,-0.1894950425041945,-0.2921531299808753,0.5109839699761244,0
52,-0.3873049274303802,-0.2221746329228075,-0.208583666306668,-0.5465677148756493,2.297254939005523,1
53,2.068767232014464,6.162187033438022,-0.2357584432476895,7.3079043787848255,-0.4291376734005415,1
