,Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,Profit_Margin,Total_Debt/Equity_(mrq),Payout_Ratio,discretized FADY
0,0.0308067074090882,-0.5465677148756493,0.7804195077354459,-0.4166497467863072,-0.8201327901782199,1
1,-0.2200351401700013,0.4294591471752105,0.272935957633075,0.0161775920406641,1.5409466892618071,1
2,-0.263832923080636,-0.5465677148756493,2.6612053671434848,-0.4200603149792703,-0.8201327901782199,1
3,-0.4038358541683366,-0.5465677148756493,-0.3306092358261578,-0.5353375199014252,-0.8201327901782199,1
4,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.4944107015858672,-0.8201327901782199,1
5,4.240702689001004,-0.5465677148756493,0.4865467172029398,-0.4944107015858672,-0.8201327901782199,1
6,1.9598999637911343,-0.5465677148756493,-0.7041120728255366,-0.0766423330878255,-0.8201327901782199,1
7,-0.271796156337115,-0.5465677148756493,-0.8734839176915831,-0.5255255775616697,-0.8201327901782199,1
8,-0.6507133387912425,1.373105971148554,-0.1934686002443216,0.3340950179047227,2.207758795530067,2
9,0.1356559452860622,0.8596510816336466,0.8493058177742483,3.591292582744327,1.5357776031667043,1
10,-0.2352980039115861,0.2860618356890653,0.7696757713073759,-0.4428848867321777,1.2073418251240196,1
11,-0.4173049996188996,-0.5465677148756493,0.4827548102283267,-0.4609871332948282,-0.8201327901782199,1
12,4.99853705390926,-0.324533168058392,0.6666622984970564,0.4934997282158317,-0.2105782529634066,0
13,-0.0846601748098577,-0.1857615762976062,0.7007894612685733,-0.3744111714734556,-0.2515333197169133,0
14,-0.1516840547185562,-0.2643988116287182,0.8644734456727003,-0.3340090559568151,0.3842642699807295,0
15,0.3858341900937785,1.548883320712216,-0.1049907708366854,-0.1362485710448433,2.230423249947056,1
16,-0.3812906136137018,-0.5465677148756493,-1.7942853280267688,0.3102210405539806,-0.8201327901782199,1
17,-0.3248843780469753,-0.5465677148756493,0.1509629499496908,0.384676367720361,-0.8201327901782199,1
18,-0.2711325535657418,0.5543535797599177,-0.4993490961964354,-0.3235149999784669,1.0133022855540073,1
19,-0.3726637775858495,-0.5465677148756493,-0.0082971429840542,-0.2733009421220708,-0.8201327901782199,1
20,-0.0196271032152789,-0.5465677148756493,0.6913096938320408,5.042108980811822,-0.8201327901782199,1
21,0.4521944672311038,0.2768103962383463,1.5514405925734192,0.3183014636573087,1.3982003886355068,1
22,-0.3895398596646427,-0.5465677148756493,0.6104156783736306,-0.4435145300908785,-0.8201327901782199,1
23,-0.2518880731959175,-0.5465677148756493,-0.389383793932659,2.9379326575323685,-0.8201327901782199,1
24,-0.381954216385075,-0.1533815382200896,0.0378377252070702,-0.2102841359720898,0.614885034223777,0
25,0.6293764071877623,0.9059082788872418,0.5459532598052097,-0.4515949531942066,1.0419310700807305,1
26,-0.3228935697328555,0.1981731609072344,-0.2535071273423605,-0.4939909393467334,0.2852563901591454,0
27,0.3367275850121578,0.688499451795344,-0.1410138870955087,0.0921020870440133,0.4423170830488069,1
28,-0.4956791413291662,-0.14875581849473,-0.5284203830018017,-0.196274571240995,-0.0670367083224753,0
29,-0.4119032730599213,-0.5465677148756493,1.1615061586840507,-0.5420537157275681,-0.8201327901782199,1
30,-0.4266180009123518,-0.5465677148756493,0.1326353995723947,-0.4725305948710113,-0.8201327901782199,1
31,-0.0926234080663367,-0.2643988116287182,-0.7685744913939572,-0.3322250664404959,0.2582180936616847,0
32,-0.3879266413274343,-0.5465677148756493,-0.959433809116144,-0.3504847238428217,-0.8201327901782199,1
33,-0.2936950477924324,0.0501501296957295,0.720380980637407,0.2858748306842127,0.0844572764647678,0
34,-0.4200669143533551,-0.5465677148756493,-1.041591793566092,-0.2949711677173598,-0.8201327901782199,1
35,-0.4153858604040881,-0.5465677148756493,-0.2326516389819891,0.0762035922368158,-0.8201327901782199,1
36,-0.4584510258551267,1.9513209368184947,1.6702536777779589,-0.353265648677084,0.7313882823672476,3
37,-0.4265124880717035,-0.5465677148756493,-0.6851525379524716,0.0703793911688326,-0.8201327901782199,1
38,-0.2452520454821849,0.5451021403091987,0.7728356937862199,0.1757921834713402,-0.045565119927433,1
39,-0.3268751863610951,-0.2967788497062348,-0.106254739828223,-0.3985475002236565,0.0124876931406444,0
40,-0.418985905438788,-0.5465677148756493,0.3993328567868411,0.1279917584899641,-0.8201327901782199,1
41,-0.6991563411014899,1.11869138625378,-0.288898259105415,0.3374531158177942,1.8013891040535248,2
42,-0.3879266413274343,0.4387105866259296,0.0511093996182157,-0.4712713081536095,1.91113277807263,1
43,-0.3434652556454264,-0.5465677148756493,0.4732750427917943,6.927510389100895,-0.8201327901782199,1
44,-0.2930314450210591,-0.491059078171335,-0.3697922745638253,0.2105275087596728,-0.7493560728760432,0
45,0.1568912339700063,1.1603228637820155,0.4227162831302878,0.0364835903587678,1.7170932385026176,2
46,-0.5611269646558533,-0.5465677148756493,0.2343849033911764,-0.4211621908569968,-0.8201327901782199,1
47,-0.1808825766589794,0.3970791090976939,0.0068704849143975,0.0756788894378984,1.209727557167913,1
48,-0.4160395091338908,-0.5465677148756493,0.5162499885040748,-0.0915963628569718,-0.8201327901782199,1
49,-0.4288377521825953,-0.5465677148756493,-2.5254913896313056,-0.3507470752422805,-0.8201327901782199,1
50,-0.7522445628113502,0.4849677838795249,-1.1294376384779594,-0.3101875488859647,2.1723704368789787,0
51,-0.1702649323170073,-0.2921531299808753,0.1749783607889065,0.5109839699761244,0.5910277137848411,0
52,-0.3693457637289832,-0.5465677148756493,0.4663232133383372,2.297254939005523,-0.8201327901782199,1
