,Umap 1,Umap 2,discretized FADY
0,-1.7594855,-2.5225523,1
1,-1.8577613,-2.458471,2
2,-1.8821512,-2.464231,2
3,-1.9290365,-2.7581944,4
4,-2.0750058,-2.6084692,2
5,-2.3031263,-2.825989,0
6,-2.440934,-2.9474418,3
7,-2.4832373,-2.827614,2
8,-2.7846794,-3.0697665,0
9,-2.976729,-3.3121994,2
10,-3.19265,-3.497538,2
11,-3.3350985,-3.3958442,2
12,-3.5619612,-3.7836158,2
13,-3.6760664,-3.8782244,2
14,-3.8650568,-4.011277,2
15,-4.0980215,-4.1482778,0
16,-4.4049134,-4.3750377,2
17,-4.694192,-4.428171,2
18,-4.8404894,-4.5612864,0
19,-5.169118,-4.73871,2
20,-5.463339,-4.8734193,2
21,-5.477328,-4.906812,3
22,-5.8630567,-5.0438046,2
23,-6.0990267,-5.144898,1
24,-6.266682,-5.1327186,0
25,-6.48893,-5.284003,1
26,-6.806065,-5.2199016,2
27,-6.985627,-5.416171,2
28,-7.2559023,-5.3118944,0
29,-7.454289,-5.534678,2
30,-7.7741275,-5.5384903,4
31,-7.900846,-5.4414897,4
32,-8.197518,-5.677297,2
33,-8.053719,-5.7909293,2
34,-8.446628,-5.8413186,0
35,-8.64755,-5.967615,2
36,-8.947171,-5.821445,2
37,-9.004526,-5.9736705,2
38,-9.271847,-6.2078724,2
39,-9.448945,-6.1548834,2
40,-9.611041,-5.994285,2
41,-9.8145075,-6.155937,0
42,-10.100996,-6.330319,2
43,-10.084214,-6.0519977,2
44,-10.531191,-6.0304766,2
45,-10.683529,-5.9745393,4
46,-11.098087,-5.775945,1
47,-11.04064,-5.9149528,2
48,-11.397078,-5.943517,1
49,-11.651251,-5.7701497,2
50,-11.8225155,-5.961017,0
51,-12.056204,-5.8008904,1
52,-12.135649,-5.7057242,2
53,-12.429663,-5.693767,2
54,-12.522976,-5.6167064,2
55,-12.957284,-5.690837,0
56,-13.051632,-5.5814085,2
57,-13.393063,-5.8391023,2
58,-13.50809,-5.63343,0
59,-13.945203,-5.543358,2
60,-14.299403,-5.5587525,2
61,-14.523485,-5.531828,2
62,-14.716017,-5.686996,3
63,-14.8615885,-5.7311726,1
64,-15.158885,-5.6746173,2
65,-15.242805,-5.802391,3
66,-15.499237,-5.767516,2
67,-15.4846325,-5.900417,2
68,-15.765533,-5.9073725,2
69,-15.978507,-6.082035,0
70,-16.168186,-6.2625823,2
71,-16.228771,-6.3312793,2
72,-16.414463,-6.4972906,2
73,-16.598043,-6.703967,0
74,-16.702133,-6.8628817,2
75,-16.710596,-7.1764803,3
76,-16.898687,-7.124218,0
77,-16.636372,-7.279089,2
78,-16.782707,-7.509092,2
79,-16.831465,-7.607962,2
80,-16.369562,-7.5658965,3
81,-16.445307,-7.6587405,2
82,-16.573572,-7.7505784,2
