,Levered_Free_Cash_Flow,Operating_Cash_Flow,5_Year_Average_Dividend_Yield,Profit_Margin,Return_on_Equity,discretized FADY
0,0.0308067074090882,-0.1254458946423101,-1.5516806421923297,0.7804195077354459,-0.0680039055947013,1
1,-0.2200351401700013,-0.3088779292575805,0.0764585902438773,0.272935957633075,0.4721113560940383,1
2,-0.263832923080636,-0.2888354741689761,-1.1252589124113712,2.6612053671434848,0.200429866627583,1
3,-0.4038358541683366,-0.4368189413156865,-1.075433187033728,-0.3306092358261578,-0.2289978889843134,1
4,4.240702689001004,4.162332377682811,-0.7335269972210728,0.4865467172029398,-0.125269777002122,1
5,4.240702689001004,4.162332377682811,-0.7335269972210728,0.4865467172029398,-0.125269777002122,1
6,1.9598999637911343,2.646512785220755,-0.4129803925129674,-0.7041120728255366,-0.2101081050131156,1
7,-0.271796156337115,-0.3947119217022558,-0.940713763258826,-0.8734839176915831,-0.2906382366798009,1
8,-0.6507133387912425,-0.2910140018959983,1.2931862962042688,-0.1934686002443216,-0.2331072454973459,2
9,0.1356559452860622,-0.0143409805641771,0.9342953901296208,0.8493058177742483,0.5936687729472903,1
10,-0.2352980039115861,-0.2653073747171362,-0.0548429607590425,0.7696757713073759,-0.2321793262847256,1
11,-0.4173049996188996,-0.4466319016092854,-1.1781448701499668,0.4827548102283267,-0.2260152915151769,1
12,4.99853705390926,4.340971651298633,-0.9389400708453702,0.6666622984970564,0.8465267583863062,0
13,-0.0846601748098577,-0.0962536231002124,-0.6588300953724744,0.7007894612685733,0.025251975273633,0
14,-0.1516840547185562,-0.1441812330947011,-0.8864194504442022,0.8644734456727003,0.212360256504129,0
15,0.3858341900937785,-0.0239265025630749,0.6366785411896692,-0.1049907708366854,-0.1849880063286104,1
16,-0.3812906136137018,-0.4342465357756186,-1.0009294582363673,-1.7942853280267688,-0.8263790220804739,1
17,-0.3248843780469753,-0.3973261549746824,-1.236556919785322,0.1509629499496908,0.2158730935233342,1
18,-0.2711325535657418,-0.3432986673445315,1.118117561533709,-0.4993490961964354,-0.217133779051526,1
19,-0.3726637775858495,-0.4160614934270734,-1.120913342908533,-0.0082971429840542,-0.2220384948896615,1
20,-0.0196271032152789,-0.1193460170066479,-0.8527597518603285,0.6913096938320408,2.014975886906468,1
21,0.4521944672311038,0.3124381784891549,1.0305831941984287,1.5514405925734192,0.1065774662654214,1
22,-0.3895398596646427,-0.4169329045178823,-1.2093959028506935,0.6104156783736306,-0.0750958595768703,1
23,-0.2518880731959175,0.1503557155987021,-0.8917297165390091,-0.389383793932659,-0.0281033794520309,1
24,-0.381954216385075,-0.403861738155749,-0.7726247729083382,0.0378377252070702,-0.0425524071914032,0
25,0.6293764071877623,0.3215879949426482,0.9518022635966767,0.5459532598052097,-0.0825192132778322,1
26,-0.3228935697328555,-0.3751051721590558,-0.4399941770342744,-0.2535071273423605,-0.181674009140681,0
27,0.3367275850121578,0.7647005346189665,0.2690341983814934,-0.1410138870955087,-0.1738529757771675,1
28,-0.4956791413291662,-0.6731277652156947,-0.6184053882257717,-0.5284203830018017,-0.1991056343491899,0
29,-0.4119032730599213,-0.4130115546092424,-1.150098555122713,1.1615061586840507,-0.1376641264849781,1
30,-0.4266180009123518,-0.4523984645027132,-1.0825753639605686,0.1326353995723947,-0.2547807871064044,1
31,-0.0926234080663367,0.0070085911606405,-0.991460691246538,-0.7685744913939572,-0.1106881893752324,0
32,-0.3879266413274343,-0.4278255431529934,-0.9645807272003621,-0.959433809116144,-0.2983267101557972,1
33,-0.2936950477924324,-0.2396007475382741,-0.5537888545701384,0.720380980637407,-0.0878216087785193,0
34,-0.4200669143533551,-0.4511719533923997,-0.9798863154826811,-1.041591793566092,-0.3079373020007926,1
35,-0.4153858604040881,-0.4427528151385496,-1.0896751236518212,-0.2326516389819891,-0.1710692181393068,1
36,-0.4584510258551267,-0.2252224645399275,0.9430488268631492,1.6702536777779589,-0.1522457141118676,3
37,-0.4265124880717035,-0.3746694666136514,-1.0784488710735753,-0.6851525379524716,-0.2038777902998083,1
38,-0.2452520454821849,-0.3450414895261492,-0.46193166515209694,0.7728356937862199,0.0419545211007974,1
39,-0.3268751863610951,-0.3790265220676958,-0.6976133172819154,-0.106254739828223,-0.2075231872065306,0
40,-0.418985905438788,-0.4354486473753895,-1.2154294346549186,0.3993328567868411,0.1733213696303202,1
41,-0.6991563411014899,-0.3001638183494917,1.2669259860036846,-0.288898259105415,-0.2364212426852753,2
42,-0.3879266413274343,-0.4151900823362646,0.3828288759173572,0.0511093996182157,-0.066280627056978,1
43,-0.3434652556454264,-0.3764122887952691,-0.5973971333619512,0.4732750427917943,-0.1208737090963006,1
44,-0.2930314450210591,-0.3842549886125491,-1.16036592627253,-0.3697922745638253,-0.196984676148915,0
45,0.1568912339700063,-0.1093247894623457,1.8008856267488926,0.4227162831302878,-0.1147312659445064,2
46,-0.5611269646558533,-0.3912262773390202,-1.1009319892510263,0.2343849033911764,-0.1994370340679828,1
47,-0.1808825766589794,-0.2683573135349673,0.0852120269774053,0.0068704849143975,-0.0933228441104822,1
48,-0.4160395091338908,-0.4391499659836003,-1.1384387677361874,0.5162499885040748,0.3218547235933177,1
49,-0.4288377521825953,-0.4578456552313595,-1.1006006220818376,-2.5254913896313056,-0.4112677343204324,1
50,-0.7522445628113502,0.1586341209613866,0.9605557003302052,-1.1294376384779594,-0.3037616655440015,0
51,-0.1702649323170073,-0.2740214856252251,-1.096501932048874,0.1749783607889065,-0.1894950425041945,0
