,Profit_Margin,Trailing_Annual_Dividend_Yield,Payout_Ratio,Operating_Cash_Flow,Total_Debt/Equity_(mrq),discretized FADY
0,0.7804195077354459,-0.5465677148756493,-0.8201327901782199,-0.1254458946423101,-0.4166497467863072,1
1,0.272935957633075,0.4294591471752105,1.5409466892618071,-0.3088779292575805,0.0161775920406641,1
2,2.6612053671434848,-0.5465677148756493,-0.8201327901782199,-0.2888354741689761,-0.4200603149792703,1
3,-0.3306092358261578,-0.5465677148756493,-0.8201327901782199,-0.4368189413156865,-0.5353375199014252,1
4,0.4865467172029398,-0.5465677148756493,-0.8201327901782199,4.162332377682811,-0.4944107015858672,1
5,0.4865467172029398,-0.5465677148756493,-0.8201327901782199,4.162332377682811,-0.4944107015858672,1
6,-0.7041120728255366,-0.5465677148756493,-0.8201327901782199,2.646512785220755,-0.0766423330878255,1
7,-0.8734839176915831,-0.5465677148756493,-0.8201327901782199,-0.3947119217022558,-0.5255255775616697,1
8,-0.1934686002443216,1.373105971148554,2.207758795530067,-0.2910140018959983,0.3340950179047227,2
9,0.8493058177742483,0.8596510816336466,1.5357776031667043,-0.0143409805641771,3.591292582744327,1
10,0.7696757713073759,0.2860618356890653,1.2073418251240196,-0.2653073747171362,-0.4428848867321777,1
11,0.4827548102283267,-0.5465677148756493,-0.8201327901782199,-0.4466319016092854,-0.4609871332948282,1
12,0.6666622984970564,-0.324533168058392,-0.2105782529634066,4.340971651298633,0.4934997282158317,0
13,0.7007894612685733,-0.1857615762976062,-0.2515333197169133,-0.0962536231002124,-0.3744111714734556,0
14,0.8644734456727003,-0.2643988116287182,0.3842642699807295,-0.1441812330947011,-0.3340090559568151,0
15,-0.1049907708366854,1.548883320712216,2.230423249947056,-0.0239265025630749,-0.1362485710448433,1
16,-1.7942853280267688,-0.5465677148756493,-0.8201327901782199,-0.4342465357756186,0.3102210405539806,1
17,0.1509629499496908,-0.5465677148756493,-0.8201327901782199,-0.3973261549746824,0.384676367720361,1
18,-0.4993490961964354,0.5543535797599177,1.0133022855540073,-0.3432986673445315,-0.3235149999784669,1
19,-0.0082971429840542,-0.5465677148756493,-0.8201327901782199,-0.4160614934270734,-0.2733009421220708,1
20,0.6913096938320408,-0.5465677148756493,-0.8201327901782199,-0.1193460170066479,0.33918735627928465,1
21,1.5514405925734192,0.2768103962383463,1.3982003886355068,0.3124381784891549,0.3183014636573087,1
22,0.6104156783736306,-0.5465677148756493,-0.8201327901782199,-0.4169329045178823,-0.4435145300908785,1
23,-0.389383793932659,-0.5465677148756493,-0.8201327901782199,0.1503557155987021,2.9379326575323685,1
24,0.0378377252070702,-0.1533815382200896,0.614885034223777,-0.403861738155749,-0.2102841359720898,0
25,0.5459532598052097,0.9059082788872418,1.0419310700807305,0.3215879949426482,-0.4515949531942066,1
26,-0.2535071273423605,0.1981731609072344,0.2852563901591454,-0.3751051721590558,-0.4939909393467334,0
27,-0.1410138870955087,0.688499451795344,0.4423170830488069,0.7647005346189665,0.0921020870440133,1
28,-0.5284203830018017,-0.14875581849473,-0.0670367083224753,-0.6731277652156947,-0.196274571240995,0
29,1.1615061586840507,-0.5465677148756493,-0.8201327901782199,-0.4130115546092424,-0.5420537157275681,1
30,0.1326353995723947,-0.5465677148756493,-0.8201327901782199,-0.4523984645027132,-0.4725305948710113,1
31,-0.7685744913939572,-0.2643988116287182,0.2582180936616847,0.0070085911606405,-0.3322250664404959,0
32,-0.959433809116144,-0.5465677148756493,-0.8201327901782199,-0.4278255431529934,-0.3504847238428217,1
33,0.720380980637407,0.0501501296957295,0.0844572764647678,-0.2396007475382741,0.2858748306842127,0
34,-1.041591793566092,-0.5465677148756493,-0.8201327901782199,-0.4511719533923997,-0.2949711677173598,1
35,-0.2326516389819891,-0.5465677148756493,-0.8201327901782199,-0.4427528151385496,0.0762035922368158,1
36,1.6702536777779589,1.9513209368184947,0.7313882823672476,-0.2252224645399275,-0.353265648677084,3
37,-0.6851525379524716,-0.5465677148756493,-0.8201327901782199,-0.3746694666136514,0.0703793911688326,1
38,0.7728356937862199,0.5451021403091987,-0.045565119927433,-0.3450414895261492,0.1757921834713402,1
39,-0.106254739828223,-0.2967788497062348,0.0124876931406444,-0.3790265220676958,-0.3985475002236565,0
40,0.3993328567868411,-0.5465677148756493,-0.8201327901782199,-0.4354486473753895,0.1279917584899641,1
41,-0.288898259105415,1.11869138625378,1.8013891040535248,-0.3001638183494917,0.3374531158177942,2
42,0.0511093996182157,0.4387105866259296,1.91113277807263,-0.4151900823362646,-0.4712713081536095,1
43,0.4732750427917943,-0.5465677148756493,-0.8201327901782199,-0.3764122887952691,6.927510389100895,1
44,-0.3697922745638253,-0.491059078171335,-0.7493560728760432,-0.3842549886125491,0.2105275087596728,0
45,0.4227162831302878,1.1603228637820155,1.7170932385026176,-0.1093247894623457,0.0364835903587678,2
46,0.2343849033911764,-0.5465677148756493,-0.8201327901782199,-0.3912262773390202,-0.4211621908569968,1
47,0.0068704849143975,0.3970791090976939,1.209727557167913,-0.2683573135349673,0.0756788894378984,1
48,0.5162499885040748,-0.5465677148756493,-0.8201327901782199,-0.4391499659836003,-0.0915963628569718,1
49,-2.5254913896313056,-0.5465677148756493,-0.8201327901782199,-0.4578456552313595,-0.3507470752422805,1
50,-1.1294376384779594,0.4849677838795249,2.1723704368789787,0.1586341209613866,-0.3101875488859647,0
51,0.1749783607889065,-0.2921531299808753,0.5910277137848411,-0.2740214856252251,-0.13610035607251392,0
