,Umap 1,Umap 2,discretized FADY
0,12.310599,-1.5995382,1
1,12.53111,-1.6927539,2
2,12.427876,-1.8414646,2
3,12.494644,-1.6865662,4
4,12.530487,-1.9436036,2
5,12.392573,-2.2533529,0
6,12.258743,-2.4780009,3
7,12.588853,-2.283004,2
8,12.618279,-2.611636,0
9,12.561914,-2.912749,2
10,12.660796,-3.0946546,2
11,12.828955,-3.5487108,2
12,13.005695,-3.7314055,2
13,12.968708,-3.9413655,2
14,13.170691,-4.2240376,2
15,13.383911,-4.6561112,0
16,13.581593,-4.992141,2
17,13.694331,-5.192328,2
18,13.871289,-5.4466906,0
19,14.113107,-5.953403,2
20,14.044684,-5.881422,2
21,14.294503,-6.276832,3
22,14.447742,-6.493714,2
23,14.639487,-6.761673,1
24,14.906792,-7.032264,0
25,15.039148,-7.132214,1
26,15.267763,-7.317808,2
27,15.288493,-7.3763685,2
28,15.525878,-7.4330583,0
29,15.690106,-7.594677,2
30,15.957407,-7.6451488,4
31,16.13961,-7.795001,4
32,16.438236,-7.97886,2
33,16.794115,-8.09062,2
34,16.91207,-8.027239,0
35,17.116774,-8.272126,2
36,17.239065,-8.38586,2
37,17.57158,-8.239964,2
38,17.737011,-8.349551,2
39,17.908905,-8.503656,2
40,18.059439,-8.586474,2
41,18.31146,-8.437013,0
42,18.540169,-8.563251,2
43,18.960096,-8.64719,2
44,19.096106,-8.522629,2
45,19.240076,-8.609776,4
46,19.714777,-8.692247,1
47,19.649042,-8.666962,2
48,19.816385,-8.932763,1
49,20.071371,-8.784685,2
50,20.094456,-9.027958,0
51,20.42737,-8.938587,1
52,20.603905,-9.072365,2
53,20.95697,-9.343488,2
54,21.115059,-9.263314,2
55,21.340227,-9.468966,0
56,21.499756,-9.616646,2
57,21.644384,-9.753306,2
58,21.788124,-9.946484,0
59,21.935263,-10.178724,2
60,21.924864,-10.231455,2
61,22.203001,-10.53727,2
62,21.964766,-10.750265,3
63,22.156406,-10.917511,1
64,22.224918,-11.266251,2
65,22.056572,-11.357846,3
66,22.355282,-11.647553,2
67,22.320185,-11.690813,2
68,22.291603,-11.970126,2
69,22.306787,-12.198089,0
70,22.17689,-12.575814,2
71,22.465322,-12.608681,2
72,22.349829,-12.726967,2
73,22.19358,-12.944442,0
74,22.316956,-13.126353,2
75,22.659876,-13.275727,3
76,22.37138,-13.385304,0
77,22.694534,-13.489517,2
78,22.400532,-13.544527,2
79,22.567204,-13.7901945,2
80,22.81467,-13.823617,3
81,22.864283,-13.745284,2
82,22.609726,-13.975935,2
