,Total_Debt/Equity_(mrq),Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,Operating_Cash_Flow,Total_Cash_(mrq),discretized FADY
0,-0.4166497467863072,0.0308067074090882,-0.5465677148756493,-0.1254458946423101,-0.1940246514371787,1
1,0.0161775920406641,-0.2200351401700013,0.4294591471752105,-0.3088779292575805,-0.3580524281707465,1
2,-0.4200603149792703,-0.263832923080636,-0.5465677148756493,-0.2888354741689761,-0.1009131742154835,1
3,-0.5353375199014252,-0.4038358541683366,-0.5465677148756493,-0.4368189413156865,-0.3629245403509515,1
4,-0.4944107015858672,4.240702689001004,-0.5465677148756493,4.162332377682811,2.8488800779997336,1
5,-0.4944107015858672,4.240702689001004,-0.5465677148756493,4.162332377682811,2.8488800779997336,1
6,-0.0766423330878255,1.9598999637911343,-0.5465677148756493,2.646512785220755,1.3393373208328896,1
7,-0.5255255775616697,-0.271796156337115,-0.5465677148756493,-0.3947119217022558,-0.2411217358458269,1
8,0.3340950179047227,-0.6507133387912425,1.373105971148554,-0.2910140018959983,-0.3822965997252443,2
9,3.591292582744327,0.1356559452860622,0.8596510816336466,-0.0143409805641771,0.5427469793693748,1
10,-0.4428848867321777,-0.2352980039115861,0.2860618356890653,-0.2653073747171362,-0.371638583658147,1
11,-0.4609871332948282,-0.4173049996188996,-0.5465677148756493,-0.4466319016092854,-0.3802608688526153,1
12,0.4934997282158317,4.99853705390926,-0.324533168058392,4.340971651298633,1.268421021321017,0
13,-0.3744111714734556,-0.0846601748098577,-0.1857615762976062,-0.0962536231002124,-0.2116183898656967,0
14,-0.3340090559568151,-0.1516840547185562,-0.2643988116287182,-0.1441812330947011,-0.2627755677578491,0
15,-0.1362485710448433,0.3858341900937785,1.548883320712216,-0.0239265025630749,-0.2592568200721455,1
16,0.3102210405539806,-0.3812906136137018,-0.5465677148756493,-0.4342465357756186,-0.3361279233598241,1
17,0.384676367720361,-0.3248843780469753,-0.5465677148756493,-0.3973261549746824,-0.3447894561246329,1
18,-0.3235149999784669,-0.2711325535657418,0.5543535797599177,-0.3432986673445315,-0.2825346893775693,1
19,-0.2733009421220708,-0.3726637775858495,-0.5465677148756493,-0.4160614934270734,-0.3355865775620235,1
20,0.33918735627928465,-0.0196271032152789,-0.5465677148756493,-0.1193460170066479,-0.0207939961410015,1
21,0.3183014636573087,0.4521944672311038,0.2768103962383463,0.3124381784891549,-0.0968530807319793,1
22,-0.4435145300908785,-0.3895398596646427,-0.5465677148756493,-0.4169329045178823,-0.3715324798817781,1
23,2.9379326575323685,-0.2518880731959175,-0.5465677148756493,0.1503557155987021,-0.3821152488829811,1
24,-0.2102841359720898,-0.381954216385075,-0.1533815382200896,-0.403861738155749,-0.3951852311521788,0
25,-0.4515949531942066,0.6293764071877623,0.9059082788872418,0.3215879949426482,0.2493375569614747,1
26,-0.4939909393467334,-0.3228935697328555,0.1981731609072344,-0.3751051721590558,-0.3334211943708213,0
27,0.0921020870440133,0.3367275850121578,0.688499451795344,0.7647005346189665,-0.2235279974173089,1
28,-0.196274571240995,-0.4956791413291662,-0.14875581849473,-0.6731277652156947,-0.3464134935180346,0
29,-0.5420537157275681,-0.4119032730599213,-0.5465677148756493,-0.4130115546092424,-0.3263836989994141,1
30,-0.4725305948710113,-0.4266180009123518,-0.5465677148756493,-0.4523984645027132,-0.2560087452853422,1
31,-0.3322250664404959,-0.0926234080663367,-0.2643988116287182,0.0070085911606405,0.0146641536149346,0
32,-0.3504847238428217,-0.3879266413274343,-0.5465677148756493,-0.4278255431529934,-0.3117673624587992,1
33,0.2858748306842127,-0.2936950477924324,0.0501501296957295,-0.2396007475382741,-0.3585937739685471,0
34,-0.2949711677173598,-0.4200669143533551,-0.5465677148756493,-0.4511719533923997,-0.3342332130675222,1
35,0.0762035922368158,-0.4153858604040881,-0.5465677148756493,-0.4427528151385496,-0.3098726521664972,1
36,-0.353265648677084,-0.4584510258551267,1.9513209368184947,-0.2252224645399275,-0.375186022671134,3
37,0.0703793911688326,-0.4265124880717035,-0.5465677148756493,-0.3746694666136514,-0.3855365543250806,1
38,0.1757921834713402,-0.2452520454821849,0.5451021403091987,-0.3450414895261492,-0.1615439035691455,1
39,-0.3985475002236565,-0.3268751863610951,-0.2967788497062348,-0.3790265220676958,-0.3353159046631233,0
40,0.1279917584899641,-0.418985905438788,-0.5465677148756493,-0.4354486473753895,-0.3493908954059376,1
41,0.3374531158177942,-0.6991563411014899,1.11869138625378,-0.3001638183494917,-0.3893692825735085,2
42,-0.4712713081536095,-0.3879266413274343,0.4387105866259296,-0.4151900823362646,-0.3895181526679037,1
43,6.927510389100895,-0.3434652556454264,-0.5465677148756493,-0.3764122887952691,-0.3117673624587992,1
44,0.2105275087596728,-0.2930314450210591,-0.491059078171335,-0.3842549886125491,-0.3323385027752202,0
45,0.0364835903587678,0.1568912339700063,1.1603228637820155,-0.1093247894623457,-0.1818443709866663,2
46,-0.4211621908569968,-0.5611269646558533,-0.5465677148756493,-0.3912262773390202,-0.3193462036280069,1
47,0.0756788894378984,-0.1808825766589794,0.3970791090976939,-0.2683573135349673,-0.1829270625822674,1
48,-0.0915963628569718,-0.4160395091338908,-0.5465677148756493,-0.4391499659836003,-0.3885924513536647,1
49,-0.3507470752422805,-0.4288377521825953,-0.5465677148756493,-0.4578456552313595,-0.3723168899427911,1
50,-0.3101875488859647,-0.7522445628113502,0.4849677838795249,0.1586341209613866,0.2799235945372059,0
51,-0.13610035607251392,-0.1702649323170073,-0.2921531299808753,-0.2740214856252251,-0.20194174956128835,0
