,Umap 1,Umap 2,discretized FADY
0,-5.696057,3.0806537,1
1,-5.828015,2.9723856,2
2,-5.9130044,3.0843787,2
3,-5.8424783,2.8257835,4
4,-6.135243,2.7341669,2
5,-6.0486946,2.6015196,0
6,-6.2720304,2.3374534,3
7,-6.2857876,2.307354,2
8,-6.4647083,2.1411984,0
9,-6.7507405,1.8661277,2
10,-7.019464,1.597431,2
11,-7.163325,1.4533691,2
12,-7.3268147,1.290921,2
13,-7.576186,1.0515437,2
14,-7.721036,0.9119375,2
15,-8.004345,0.6456989,0
16,-8.248261,0.423389,2
17,-8.475284,0.21534543,2
18,-8.726707,0.007266192,0
19,-8.815715,-0.0674132,2
20,-9.037871,-0.23486032,2
21,-9.290441,-0.4542359,3
22,-9.614521,-0.7069177,2
23,-9.854529,-1.0487869,1
24,-10.058239,-1.0439141,0
25,-10.242931,-1.1993464,1
26,-10.592083,-1.3856863,2
27,-10.784469,-1.5278147,2
28,-10.949699,-1.6781105,0
29,-11.089697,-1.7852697,2
30,-11.434158,-1.9997467,4
31,-11.386466,-1.9474537,4
32,-11.676227,-2.2365196,2
33,-11.73291,-2.2978344,2
34,-11.877632,-2.4845905,0
35,-12.007624,-2.5855513,2
36,-12.4513855,-2.778195,2
37,-12.517919,-2.8316724,2
38,-12.685858,-3.2297618,2
39,-12.463219,-3.4091256,2
40,-13.019655,-3.3230464,2
41,-12.926134,-3.582149,0
42,-13.0410385,-3.7713,2
43,-13.28033,-4.0748463,2
44,-13.199084,-4.253061,2
45,-13.344449,-4.368854,4
46,-13.273358,-4.7313533,1
47,-13.353605,-4.8043747,2
48,-13.385178,-5.042603,1
49,-13.532666,-5.3334274,2
50,-13.45012,-5.535235,0
51,-13.667368,-5.798211,1
52,-13.857149,-6.047188,2
53,-14.027279,-6.285291,2
54,-13.950419,-6.3802557,2
55,-14.171341,-6.607958,0
56,-14.02141,-6.7754827,2
57,-14.059237,-6.931666,2
58,-14.233889,-7.082434,0
59,-14.104142,-7.278872,2
60,-14.180336,-7.520535,2
61,-14.216258,-7.675389,2
62,-14.450192,-7.9201636,3
63,-14.395248,-8.120287,1
64,-14.4240055,-8.581001,2
65,-14.519049,-8.6720705,3
66,-14.540011,-8.794595,2
67,-14.63315,-9.126809,2
68,-14.756013,-9.362456,2
69,-14.672107,-9.5611925,0
70,-14.888405,-9.752279,2
71,-14.988872,-9.887997,2
72,-15.064624,-10.15573,2
73,-15.020303,-10.332195,0
74,-15.189243,-10.531249,2
75,-15.387018,-10.692121,3
76,-15.214323,-10.908232,0
77,-15.486896,-10.940532,2
78,-15.55412,-11.10988,2
79,-15.686816,-11.122904,2
80,-15.870214,-10.853148,3
81,-15.943815,-11.010158,2
82,-15.782089,-10.987558,2
