,Operating_Cash_Flow,Levered_Free_Cash_Flow,5_Year_Average_Dividend_Yield,Payout_Ratio,Trailing_Annual_Dividend_Yield,discretized FADY
0,-0.1254458946423101,0.0308067074090882,-1.5516806421923297,-0.8201327901782199,-0.5465677148756493,1
1,-0.3088779292575805,-0.2200351401700013,0.0764585902438773,1.5409466892618071,0.4294591471752105,1
2,-0.2888354741689761,-0.263832923080636,-0.6528593680749283,-0.8201327901782199,-0.5465677148756493,1
3,-0.4368189413156865,-0.4038358541683366,-0.38867153329714765,-0.8201327901782199,-0.5465677148756493,1
4,4.162332377682811,4.240702689001004,-0.1717130961175159,-0.8201327901782199,-0.5465677148756493,1
5,4.162332377682811,4.240702689001004,-0.30919802424414894,-0.8201327901782199,-0.5465677148756493,1
6,2.646512785220755,1.9598999637911343,0.34121662851656687,-0.8201327901782199,-0.5465677148756493,1
7,-0.3947119217022558,-0.271796156337115,0.4637584247488647,-0.8201327901782199,-0.5465677148756493,1
8,-0.2910140018959983,-0.6507133387912425,1.2931862962042688,2.207758795530067,1.373105971148554,2
9,-0.0143409805641771,0.1356559452860622,0.9342953901296208,1.5357776031667043,0.8596510816336466,1
10,-0.2653073747171362,-0.2352980039115861,-0.0548429607590425,1.2073418251240196,0.2860618356890653,1
11,-0.4466319016092854,-0.4173049996188996,-0.2554645466511107,-0.8201327901782199,-0.5465677148756493,1
12,4.340971651298633,4.99853705390926,-0.9389400708453702,-0.2105782529634066,-0.324533168058392,0
13,-0.0962536231002124,-0.0846601748098577,-0.6588300953724744,-0.2515333197169133,-0.1857615762976062,0
14,-0.1441812330947011,-0.1516840547185562,-0.8864194504442022,0.3842642699807295,-0.2643988116287182,0
15,-0.0239265025630749,0.3858341900937785,0.6366785411896692,2.230423249947056,1.548883320712216,1
16,-0.4342465357756186,-0.3812906136137018,-0.39856063575700285,-0.8201327901782199,-0.5465677148756493,1
17,-0.3973261549746824,-0.3248843780469753,-1.236556919785322,-0.8201327901782199,-0.5465677148756493,1
18,-0.3432986673445315,-0.2711325535657418,1.118117561533709,1.0133022855540073,0.5543535797599177,1
19,-0.4160614934270734,-0.3726637775858495,-0.1122529902862313,-0.8201327901782199,-0.5465677148756493,1
20,-0.1193460170066479,-0.0196271032152789,0.20153126682161054,-0.8201327901782199,-0.5465677148756493,1
21,0.3124381784891549,0.4521944672311038,1.0305831941984287,1.3982003886355068,0.2768103962383463,1
22,-0.4169329045178823,-0.3895398596646427,0.18496572659773025,-0.8201327901782199,-0.5465677148756493,1
23,0.1503557155987021,-0.2518880731959175,0.09935698054240671,-0.8201327901782199,-0.5465677148756493,1
24,-0.403861738155749,-0.381954216385075,-0.7726247729083382,0.614885034223777,-0.1533815382200896,0
25,0.3215879949426482,0.6293764071877623,0.9518022635966767,1.0419310700807305,0.9059082788872418,1
26,-0.3751051721590558,-0.3228935697328555,-0.4399941770342744,0.2852563901591454,0.1981731609072344,0
27,0.7647005346189665,0.3367275850121578,0.2690341983814934,0.4423170830488069,0.688499451795344,1
28,-0.6731277652156947,-0.4956791413291662,-0.1940347877760416,-0.0670367083224753,-0.14875581849473,0
29,-0.4130115546092424,-0.4119032730599213,-0.2871422269780428,-0.8201327901782199,-0.5465677148756493,1
30,-0.4523984645027132,-0.4266180009123518,-0.585154116347476,-0.8201327901782199,-0.5465677148756493,1
31,0.0070085911606405,-0.0926234080663367,-0.991460691246538,0.2582180936616847,-0.2643988116287182,0
32,-0.4278255431529934,-0.3879266413274343,-0.6866284238510881,-0.8201327901782199,-0.5465677148756493,1
33,-0.2396007475382741,-0.2936950477924324,-0.5537888545701384,0.0844572764647678,0.0501501296957295,0
34,-0.4511719533923997,-0.4200669143533551,-0.3281827726561316,-0.8201327901782199,-0.5465677148756493,1
35,-0.4427528151385496,-0.4153858604040881,-0.12152736729780818,-0.8201327901782199,-0.5465677148756493,1
36,-0.2252224645399275,-0.4584510258551267,0.9430488268631492,0.7313882823672476,1.9513209368184947,3
37,-0.3746694666136514,-0.4265124880717035,0.3138999220863431,-0.8201327901782199,-0.5465677148756493,1
38,-0.3450414895261492,-0.2452520454821849,0.6150863843374472,-0.045565119927433,0.5451021403091987,1
39,-0.3790265220676958,-0.3268751863610951,0.8392644801309395,0.0124876931406444,-0.2967788497062348,0
40,-0.4354486473753895,-0.418985905438788,0.8633877670799505,-0.8201327901782199,-0.5465677148756493,1
41,-0.3001638183494917,-0.6991563411014899,1.2669259860036846,1.8013891040535248,1.11869138625378,2
42,-0.4151900823362646,-0.3879266413274343,0.3828288759173572,1.91113277807263,0.4387105866259296,1
43,-0.3764122887952691,-0.3434652556454264,0.6136422437396841,-0.8201327901782199,-0.5465677148756493,1
44,-0.3842549886125491,-0.2930314450210591,0.9159069259813316,-0.7493560728760432,-0.491059078171335,0
45,-0.1093247894623457,0.1568912339700063,1.8008856267488926,1.7170932385026176,1.1603228637820155,2
46,-0.3912262773390202,-0.5611269646558533,0.5514422428595583,-0.8201327901782199,-0.5465677148756493,1
47,-0.2683573135349673,-0.1808825766589794,0.0852120269774053,1.209727557167913,0.3970791090976939,1
48,-0.4391499659836003,-0.4160395091338908,0.26566955035234935,-0.8201327901782199,-0.5465677148756493,1
49,-0.4578456552313595,-0.4288377521825953,0.2842294839213819,-0.8201327901782199,-0.5465677148756493,1
50,0.1586341209613866,-0.7522445628113502,0.9605557003302052,2.1723704368789787,0.4849677838795249,0
51,-0.2740214856252251,-0.1702649323170073,-1.096501932048874,0.5910277137848411,-0.2921531299808753,0
