,Payout_Ratio,5_Year_Average_Dividend_Yield,Return_on_Equity,Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,discretized FADY
0,-0.8201327901782199,-1.5516806421923297,-0.0680039055947013,0.0308067074090882,-0.5465677148756493,1
1,1.5409466892618071,0.0764585902438773,0.4721113560940383,-0.2200351401700013,0.4294591471752105,1
2,-0.8201327901782199,-1.1252589124113712,0.200429866627583,-0.263832923080636,-0.5465677148756493,1
3,-0.8201327901782199,-1.075433187033728,-0.2289978889843134,-0.4038358541683366,-0.5465677148756493,1
4,-0.8201327901782199,-0.7335269972210728,-0.125269777002122,4.240702689001004,-0.5465677148756493,1
5,-0.8201327901782199,-0.7335269972210728,-0.125269777002122,4.240702689001004,-0.5465677148756493,1
6,-0.8201327901782199,-0.4129803925129674,-0.2101081050131156,1.9598999637911343,-0.5465677148756493,1
7,-0.8201327901782199,-0.940713763258826,-0.2906382366798009,-0.271796156337115,-0.5465677148756493,1
8,2.207758795530067,1.2931862962042688,-0.2331072454973459,-0.6507133387912425,1.373105971148554,2
9,1.5357776031667043,0.9342953901296208,0.5936687729472903,0.1356559452860622,0.8596510816336466,1
10,1.2073418251240196,-0.0548429607590425,-0.2321793262847256,-0.2352980039115861,0.2860618356890653,1
11,-0.8201327901782199,-1.1781448701499668,-0.2260152915151769,-0.4173049996188996,-0.5465677148756493,1
12,-0.2105782529634066,-0.9389400708453702,0.8465267583863062,4.99853705390926,-0.324533168058392,0
13,-0.2515333197169133,-0.6588300953724744,0.025251975273633,-0.0846601748098577,-0.1857615762976062,0
14,0.3842642699807295,-0.8864194504442022,0.212360256504129,-0.1516840547185562,-0.2643988116287182,0
15,2.230423249947056,0.6366785411896692,-0.1849880063286104,0.3858341900937785,1.548883320712216,1
16,-0.8201327901782199,-1.0009294582363673,-0.8263790220804739,-0.3812906136137018,-0.5465677148756493,1
17,-0.8201327901782199,-1.236556919785322,0.2158730935233342,-0.3248843780469753,-0.5465677148756493,1
18,1.0133022855540073,1.118117561533709,-0.217133779051526,-0.2711325535657418,0.5543535797599177,1
19,-0.8201327901782199,-1.120913342908533,-0.2220384948896615,-0.3726637775858495,-0.5465677148756493,1
20,-0.8201327901782199,-0.8527597518603285,2.014975886906468,-0.0196271032152789,-0.5465677148756493,1
21,1.3982003886355068,1.0305831941984287,0.1065774662654214,0.4521944672311038,0.2768103962383463,1
22,-0.8201327901782199,-1.2093959028506935,-0.0750958595768703,-0.3895398596646427,-0.5465677148756493,1
23,-0.8201327901782199,-0.8917297165390091,-0.0281033794520309,-0.2518880731959175,-0.5465677148756493,1
24,0.614885034223777,-0.7726247729083382,-0.0425524071914032,-0.381954216385075,-0.1533815382200896,0
25,1.0419310700807305,0.9518022635966767,-0.0825192132778322,0.6293764071877623,0.9059082788872418,1
26,0.2852563901591454,-0.4399941770342744,-0.181674009140681,-0.3228935697328555,0.1981731609072344,0
27,0.4423170830488069,0.2690341983814934,-0.1738529757771675,0.3367275850121578,0.688499451795344,1
28,-0.0670367083224753,-0.6184053882257717,-0.1991056343491899,-0.4956791413291662,-0.14875581849473,0
29,-0.8201327901782199,-1.150098555122713,-0.1376641264849781,-0.4119032730599213,-0.5465677148756493,1
30,-0.8201327901782199,-1.0825753639605686,-0.2547807871064044,-0.4266180009123518,-0.5465677148756493,1
31,0.2582180936616847,-0.991460691246538,-0.1106881893752324,-0.0926234080663367,-0.2643988116287182,0
32,-0.8201327901782199,-0.9645807272003621,-0.2983267101557972,-0.3879266413274343,-0.5465677148756493,1
33,0.0844572764647678,-0.5537888545701384,-0.0878216087785193,-0.2936950477924324,0.0501501296957295,0
34,-0.8201327901782199,-0.9798863154826811,-0.3079373020007926,-0.4200669143533551,-0.5465677148756493,1
35,-0.8201327901782199,-1.0896751236518212,-0.1710692181393068,-0.4153858604040881,-0.5465677148756493,1
36,0.7313882823672476,0.9430488268631492,-0.1522457141118676,-0.4584510258551267,1.9513209368184947,3
37,-0.8201327901782199,-1.0784488710735753,-0.2038777902998083,-0.4265124880717035,-0.5465677148756493,1
38,-0.045565119927433,-0.46193166515209694,0.0419545211007974,-0.2452520454821849,0.5451021403091987,1
39,0.0124876931406444,-0.6976133172819154,-0.2075231872065306,-0.3268751863610951,-0.2967788497062348,0
40,-0.8201327901782199,-1.2154294346549186,0.1733213696303202,-0.418985905438788,-0.5465677148756493,1
41,1.8013891040535248,1.2669259860036846,-0.2364212426852753,-0.6991563411014899,1.11869138625378,2
42,1.91113277807263,0.3828288759173572,-0.066280627056978,-0.3879266413274343,0.4387105866259296,1
43,-0.8201327901782199,-0.5973971333619512,-0.1208737090963006,-0.3434652556454264,-0.5465677148756493,1
44,-0.7493560728760432,-1.16036592627253,-0.196984676148915,-0.2930314450210591,-0.491059078171335,0
45,1.7170932385026176,1.8008856267488926,-0.1147312659445064,0.1568912339700063,1.1603228637820155,2
46,-0.8201327901782199,-1.1009319892510263,-0.1994370340679828,-0.5611269646558533,-0.5465677148756493,1
47,1.209727557167913,0.0852120269774053,-0.0933228441104822,-0.1808825766589794,0.3970791090976939,1
48,-0.8201327901782199,-1.1384387677361874,0.3218547235933177,-0.4160395091338908,-0.5465677148756493,1
49,-0.8201327901782199,-1.1006006220818376,-0.4112677343204324,-0.4288377521825953,-0.5465677148756493,1
50,2.1723704368789787,0.9605557003302052,-0.3037616655440015,-0.7522445628113502,0.4849677838795249,0
51,0.5910277137848411,-1.096501932048874,-0.1894950425041945,-0.1702649323170073,-0.2921531299808753,0
