,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Levered_Free_Cash_Flow,Profit_Margin,Payout_Ratio,discretized FADY
0,-0.5465677148756493,-1.5516806421923297,0.0308067074090882,0.7804195077354459,-0.8201327901782199,1
1,0.4294591471752105,0.0764585902438773,-0.2200351401700013,0.272935957633075,1.5409466892618071,1
2,-0.5465677148756493,-0.6528593680749283,-0.263832923080636,2.6612053671434848,-0.8201327901782199,1
3,-0.5465677148756493,-0.38867153329714765,-0.4038358541683366,-0.3306092358261578,-0.8201327901782199,1
4,-0.5465677148756493,-0.1717130961175159,4.240702689001004,0.4865467172029398,-0.8201327901782199,1
5,-0.5465677148756493,-0.30919802424414894,4.240702689001004,0.4865467172029398,-0.8201327901782199,1
6,-0.5465677148756493,0.34121662851656687,1.9598999637911343,-0.7041120728255366,-0.8201327901782199,1
7,-0.5465677148756493,0.4637584247488647,-0.271796156337115,-0.8734839176915831,-0.8201327901782199,1
8,1.373105971148554,1.2931862962042688,-0.6507133387912425,-0.1934686002443216,2.207758795530067,2
9,0.8596510816336466,0.9342953901296208,0.1356559452860622,0.8493058177742483,1.5357776031667043,1
10,0.2860618356890653,-0.0548429607590425,-0.2352980039115861,0.7696757713073759,1.2073418251240196,1
11,-0.5465677148756493,-0.2554645466511107,-0.4173049996188996,0.4827548102283267,-0.8201327901782199,1
12,-0.324533168058392,-0.9389400708453702,4.99853705390926,0.6666622984970564,-0.2105782529634066,0
13,-0.1857615762976062,-0.6588300953724744,-0.0846601748098577,0.7007894612685733,-0.2515333197169133,0
14,-0.2643988116287182,-0.8864194504442022,-0.1516840547185562,0.8644734456727003,0.3842642699807295,0
15,1.548883320712216,0.6366785411896692,0.3858341900937785,-0.1049907708366854,2.230423249947056,1
16,-0.5465677148756493,-0.39856063575700285,-0.3812906136137018,-1.7942853280267688,-0.8201327901782199,1
17,-0.5465677148756493,-1.236556919785322,-0.3248843780469753,0.1509629499496908,-0.8201327901782199,1
18,0.5543535797599177,1.118117561533709,-0.2711325535657418,-0.4993490961964354,1.0133022855540073,1
19,-0.5465677148756493,-0.1122529902862313,-0.3726637775858495,-0.0082971429840542,-0.8201327901782199,1
20,-0.5465677148756493,0.20153126682161054,-0.0196271032152789,0.6913096938320408,-0.8201327901782199,1
21,0.2768103962383463,1.0305831941984287,0.4521944672311038,1.5514405925734192,1.3982003886355068,1
22,-0.5465677148756493,0.18496572659773025,-0.3895398596646427,0.6104156783736306,-0.8201327901782199,1
23,-0.5465677148756493,0.09935698054240671,-0.2518880731959175,-0.389383793932659,-0.8201327901782199,1
24,-0.1533815382200896,-0.7726247729083382,-0.381954216385075,0.0378377252070702,0.614885034223777,0
25,0.9059082788872418,0.9518022635966767,0.6293764071877623,0.5459532598052097,1.0419310700807305,1
26,0.1981731609072344,-0.4399941770342744,-0.3228935697328555,-0.2535071273423605,0.2852563901591454,0
27,0.688499451795344,0.2690341983814934,0.3367275850121578,-0.1410138870955087,0.4423170830488069,1
28,-0.14875581849473,-0.1940347877760416,-0.4956791413291662,-0.5284203830018017,-0.0670367083224753,0
29,-0.5465677148756493,-0.2871422269780428,-0.4119032730599213,1.1615061586840507,-0.8201327901782199,1
30,-0.5465677148756493,-0.585154116347476,-0.4266180009123518,0.1326353995723947,-0.8201327901782199,1
31,-0.2643988116287182,-0.991460691246538,-0.0926234080663367,-0.7685744913939572,0.2582180936616847,0
32,-0.5465677148756493,-0.6866284238510881,-0.3879266413274343,-0.959433809116144,-0.8201327901782199,1
33,0.0501501296957295,-0.5537888545701384,-0.2936950477924324,0.720380980637407,0.0844572764647678,0
34,-0.5465677148756493,-0.3281827726561316,-0.4200669143533551,-1.041591793566092,-0.8201327901782199,1
35,-0.5465677148756493,-0.12152736729780818,-0.4153858604040881,-0.2326516389819891,-0.8201327901782199,1
36,1.9513209368184947,0.9430488268631492,-0.4584510258551267,1.6702536777779589,0.7313882823672476,3
37,-0.5465677148756493,0.3138999220863431,-0.4265124880717035,-0.6851525379524716,-0.8201327901782199,1
38,0.5451021403091987,0.6150863843374472,-0.2452520454821849,0.7728356937862199,-0.045565119927433,1
39,-0.2967788497062348,0.8392644801309395,-0.3268751863610951,-0.106254739828223,0.0124876931406444,0
40,-0.5465677148756493,0.8633877670799505,-0.418985905438788,0.3993328567868411,-0.8201327901782199,1
41,1.11869138625378,1.2669259860036846,-0.6991563411014899,-0.288898259105415,1.8013891040535248,2
42,0.4387105866259296,0.3828288759173572,-0.3879266413274343,0.0511093996182157,1.91113277807263,1
43,-0.5465677148756493,0.6136422437396841,-0.3434652556454264,0.4732750427917943,-0.8201327901782199,1
44,-0.491059078171335,0.9159069259813316,-0.2930314450210591,-0.3697922745638253,-0.7493560728760432,0
45,1.1603228637820155,1.8008856267488926,0.1568912339700063,0.4227162831302878,1.7170932385026176,2
46,-0.5465677148756493,0.5514422428595583,-0.5611269646558533,0.2343849033911764,-0.8201327901782199,1
47,0.3970791090976939,0.0852120269774053,-0.1808825766589794,0.0068704849143975,1.209727557167913,1
48,-0.5465677148756493,0.26566955035234935,-0.4160395091338908,0.5162499885040748,-0.8201327901782199,1
49,-0.5465677148756493,0.2842294839213819,-0.4288377521825953,-2.5254913896313056,-0.8201327901782199,1
50,0.4849677838795249,0.9605557003302052,-0.7522445628113502,-1.1294376384779594,2.1723704368789787,0
51,-0.2921531299808753,-1.096501932048874,-0.1702649323170073,0.1749783607889065,0.5910277137848411,0
52,-0.5465677148756493,-0.4832568077271003,-0.3693457637289832,0.4663232133383372,-0.8201327901782199,1
