,Return_on_Equity,Total_Debt/Equity_(mrq),Total_Cash_(mrq),Levered_Free_Cash_Flow,5_Year_Average_Dividend_Yield
0,-0.2319693703998139,-0.4567522945847493,-0.3087612167865234,-0.1659577406017546,-0.0830009262265763
1,0.4131400190113339,-0.0353672387453159,-0.2951291506442017,-0.1480050802059724,0.0634712965262057
2,0.1784333655703874,0.3028871042836406,-0.2818213600522232,-0.2736737029764481,-1.401250931001616
3,-0.2328193168944267,0.2564572044288898,-0.3194552486712121,-0.6545823235478282,1.4207805607019877
4,-0.2290552681325698,-0.5416169040702998,-0.3000177267800305,-0.3641972610955982,
5,0.0038300713913491,-0.3938985401133286,-0.1482002790062354,0.0112272120000963,-0.7567731508893746
6,0.5244830098056166,3.246321201610797,0.6087142593579274,0.2703699620609532,1.0204231518443827
7,-0.2263232972570285,-0.4733688043875387,-0.317412638609125,-0.3800400936196501,
8,0.1752157109836388,-0.3568124167853637,-0.199530328432438,-0.0676083836509475,-1.0106583369941968
9,0.105337967033683,0.2419599016734127,-0.0330471522511564,0.6544007844402954,1.127836115196423
10,-0.1887435201023607,-0.1752830676644557,-0.1959996901121172,0.5646374824613841,0.6884194469380767
11,-0.2226806694229735,-0.301086904200357,-0.2725873829067688,-0.3275316841637949,
12,1.8263581976968883,,0.0432689529803935,0.0877211562951685,
13,-0.2181880950943056,-0.3471796574793989,-0.2193562205388549,-0.2081074650092434,1.225484263698278
14,-0.0880855709546397,-0.4573302601431072,-0.3086547544617876,-0.3473818627083662,
15,-0.2016748489132561,-0.2303824508945748,-0.2834508854308328,-0.47222622420154,
16,-0.0450418520488893,2.646585607221424,-0.319273285003934,-0.1854715019015179,
17,-0.1785441621670066,0.0343257748333399,-0.1601501317827058,0.5068767490140846,0.2782972232302865
18,-0.1206870900694323,-0.3551748477033498,0.0788469237467033,0.0018606065762099,-1.127836115196423
19,-0.1453962488771057,-0.5477818700261174,-0.2633534057613143,-0.3736864129404471,
20,-0.2925584133729294,-0.3719358488957286,-0.2486876773538278,-0.3454843445595772,
21,-0.0948851429115424,-0.4647474848087002,0.3143133409557916,0.8510994983419097,1.0399527815447538
22,-0.2526716385900267,-0.4839648396241001,-0.192740639354898,-0.3909943386628852,
23,-0.0997419800236158,0.2121946754179813,-0.2956723257704049,-0.2346461803769215,-0.6395953726871487
24,-0.0582767331792892,-0.2432421845680379,-0.3323874336634211,-0.3384593904916624,-0.8837157439417858
25,-0.1857079969073148,-0.5036638324047983,-0.270414682401956,-0.268990400264505,-0.5126527796347377
26,-0.2060460023141221,0.0143859630699926,-0.3227061518015383,-0.3908702311410187,
27,-0.175994322683168,0.0197321444848031,-0.2467865644121166,-0.3777827417124935,
28,-0.2093850778286726,-0.4160538865170478,-0.2723157953436672,-0.2736737029764481,
29,0.1394572477459985,0.0672698116597397,-0.2864383486249504,-0.3820172279145421,
30,-0.2358548400894725,0.2595396874067986,-0.3265518316950569,-0.7115625065431371,1.391486116151431
31,-0.1587525509353075,-0.3744885301118094,-0.312320643388533,-0.4284373438448711,1.0204231518443827
