,Total_Debt/Equity_(mrq),Return_on_Equity,Levered_Free_Cash_Flow,5_Year_Average_Dividend_Yield,Payout_Ratio,discretized FADY
0,-0.4166497467863072,-0.0680039055947013,0.0308067074090882,-1.5516806421923297,-0.8201327901782199,1
1,0.0161775920406641,0.4721113560940383,-0.2200351401700013,0.0764585902438773,1.5409466892618071,1
2,-0.4200603149792703,0.200429866627583,-0.263832923080636,-1.1252589124113712,-0.8201327901782199,1
3,-0.5353375199014252,-0.2289978889843134,-0.4038358541683366,-1.075433187033728,-0.8201327901782199,1
4,-0.4944107015858672,-0.125269777002122,4.240702689001004,-0.7335269972210728,-0.8201327901782199,1
5,-0.4944107015858672,-0.125269777002122,4.240702689001004,-0.7335269972210728,-0.8201327901782199,1
6,-0.0766423330878255,-0.2101081050131156,1.9598999637911343,-0.4129803925129674,-0.8201327901782199,1
7,-0.5255255775616697,-0.2906382366798009,-0.271796156337115,-0.940713763258826,-0.8201327901782199,1
8,0.3340950179047227,-0.2331072454973459,-0.6507133387912425,1.2931862962042688,2.207758795530067,2
9,3.591292582744327,0.5936687729472903,0.1356559452860622,0.9342953901296208,1.5357776031667043,1
10,-0.4428848867321777,-0.2321793262847256,-0.2352980039115861,-0.0548429607590425,1.2073418251240196,1
11,-0.4609871332948282,-0.2260152915151769,-0.4173049996188996,-1.1781448701499668,-0.8201327901782199,1
12,0.4934997282158317,0.8465267583863062,4.99853705390926,-0.9389400708453702,-0.2105782529634066,0
13,-0.3744111714734556,0.025251975273633,-0.0846601748098577,-0.6588300953724744,-0.2515333197169133,0
14,-0.3340090559568151,0.212360256504129,-0.1516840547185562,-0.8864194504442022,0.3842642699807295,0
15,-0.1362485710448433,-0.1849880063286104,0.3858341900937785,0.6366785411896692,2.230423249947056,1
16,0.3102210405539806,-0.8263790220804739,-0.3812906136137018,-1.0009294582363673,-0.8201327901782199,1
17,0.384676367720361,0.2158730935233342,-0.3248843780469753,-1.236556919785322,-0.8201327901782199,1
18,-0.3235149999784669,-0.217133779051526,-0.2711325535657418,1.118117561533709,1.0133022855540073,1
19,-0.2733009421220708,-0.2220384948896615,-0.3726637775858495,-1.120913342908533,-0.8201327901782199,1
20,5.042108980811822,2.014975886906468,-0.0196271032152789,-0.8527597518603285,-0.8201327901782199,1
21,0.3183014636573087,0.1065774662654214,0.4521944672311038,1.0305831941984287,1.3982003886355068,1
22,-0.4435145300908785,-0.0750958595768703,-0.3895398596646427,-1.2093959028506935,-0.8201327901782199,1
23,2.9379326575323685,-0.0281033794520309,-0.2518880731959175,-0.8917297165390091,-0.8201327901782199,1
24,-0.2102841359720898,-0.0425524071914032,-0.381954216385075,-0.7726247729083382,0.614885034223777,0
25,-0.4515949531942066,-0.0825192132778322,0.6293764071877623,0.9518022635966767,1.0419310700807305,1
26,-0.4939909393467334,-0.181674009140681,-0.3228935697328555,-0.4399941770342744,0.2852563901591454,0
27,0.0921020870440133,-0.1738529757771675,0.3367275850121578,0.2690341983814934,0.4423170830488069,1
28,-0.196274571240995,-0.1991056343491899,-0.4956791413291662,-0.6184053882257717,-0.0670367083224753,0
29,-0.5420537157275681,-0.1376641264849781,-0.4119032730599213,-1.150098555122713,-0.8201327901782199,1
30,-0.4725305948710113,-0.2547807871064044,-0.4266180009123518,-1.0825753639605686,-0.8201327901782199,1
31,-0.3322250664404959,-0.1106881893752324,-0.0926234080663367,-0.991460691246538,0.2582180936616847,0
32,-0.3504847238428217,-0.2983267101557972,-0.3879266413274343,-0.9645807272003621,-0.8201327901782199,1
33,0.2858748306842127,-0.0878216087785193,-0.2936950477924324,-0.5537888545701384,0.0844572764647678,0
34,-0.2949711677173598,-0.3079373020007926,-0.4200669143533551,-0.9798863154826811,-0.8201327901782199,1
35,0.0762035922368158,-0.1710692181393068,-0.4153858604040881,-1.0896751236518212,-0.8201327901782199,1
36,-0.353265648677084,-0.1522457141118676,-0.4584510258551267,0.9430488268631492,0.7313882823672476,3
37,0.0703793911688326,-0.2038777902998083,-0.4265124880717035,-1.0784488710735753,-0.8201327901782199,1
38,0.1757921834713402,0.0419545211007974,-0.2452520454821849,-0.46193166515209694,-0.045565119927433,1
39,-0.3985475002236565,-0.2075231872065306,-0.3268751863610951,-0.6976133172819154,0.0124876931406444,0
40,0.1279917584899641,0.1733213696303202,-0.418985905438788,-1.2154294346549186,-0.8201327901782199,1
41,0.3374531158177942,-0.2364212426852753,-0.6991563411014899,1.2669259860036846,1.8013891040535248,2
42,-0.4712713081536095,-0.066280627056978,-0.3879266413274343,0.3828288759173572,1.91113277807263,1
