,5_Year_Average_Dividend_Yield,Total_Cash_(mrq),Levered_Free_Cash_Flow,Trailing_Annual_Dividend_Yield,Payout_Ratio,discretized FADY
0,-1.5516806421923297,-0.1940246514371787,0.0308067074090882,-0.5465677148756493,-0.8201327901782199,1
1,0.0764585902438773,-0.3580524281707465,-0.2200351401700013,0.4294591471752105,1.5409466892618071,1
2,-1.1252589124113712,-0.1009131742154835,-0.263832923080636,-0.5465677148756493,-0.8201327901782199,1
3,-1.075433187033728,-0.3629245403509515,-0.4038358541683366,-0.5465677148756493,-0.8201327901782199,1
4,-0.7335269972210728,2.8488800779997336,4.240702689001004,-0.5465677148756493,-0.8201327901782199,1
5,-0.7335269972210728,2.8488800779997336,4.240702689001004,-0.5465677148756493,-0.8201327901782199,1
6,-0.4129803925129674,1.3393373208328896,1.9598999637911343,-0.5465677148756493,-0.8201327901782199,1
7,-0.940713763258826,-0.2411217358458269,-0.271796156337115,-0.5465677148756493,-0.8201327901782199,1
8,1.2931862962042688,-0.3822965997252443,-0.6507133387912425,1.373105971148554,2.207758795530067,2
9,0.9342953901296208,0.5427469793693748,0.1356559452860622,0.8596510816336466,1.5357776031667043,1
10,-0.0548429607590425,-0.371638583658147,-0.2352980039115861,0.2860618356890653,1.2073418251240196,1
11,-1.1781448701499668,-0.3802608688526153,-0.4173049996188996,-0.5465677148756493,-0.8201327901782199,1
12,-0.9389400708453702,1.268421021321017,4.99853705390926,-0.324533168058392,-0.2105782529634066,0
13,-0.6588300953724744,-0.2116183898656967,-0.0846601748098577,-0.1857615762976062,-0.2515333197169133,0
14,-0.8864194504442022,-0.2627755677578491,-0.1516840547185562,-0.2643988116287182,0.3842642699807295,0
15,0.6366785411896692,-0.2592568200721455,0.3858341900937785,1.548883320712216,2.230423249947056,1
16,-1.0009294582363673,-0.3361279233598241,-0.3812906136137018,-0.5465677148756493,-0.8201327901782199,1
17,-1.236556919785322,-0.3447894561246329,-0.3248843780469753,-0.5465677148756493,-0.8201327901782199,1
18,1.118117561533709,-0.2825346893775693,-0.2711325535657418,0.5543535797599177,1.0133022855540073,1
19,-1.120913342908533,-0.3355865775620235,-0.3726637775858495,-0.5465677148756493,-0.8201327901782199,1
20,-0.8527597518603285,-0.0207939961410015,-0.0196271032152789,-0.5465677148756493,-0.8201327901782199,1
21,1.0305831941984287,-0.0968530807319793,0.4521944672311038,0.2768103962383463,1.3982003886355068,1
22,-1.2093959028506935,-0.3715324798817781,-0.3895398596646427,-0.5465677148756493,-0.8201327901782199,1
23,-0.8917297165390091,-0.3821152488829811,-0.2518880731959175,-0.5465677148756493,-0.8201327901782199,1
24,-0.7726247729083382,-0.3951852311521788,-0.381954216385075,-0.1533815382200896,0.614885034223777,0
25,0.9518022635966767,0.2493375569614747,0.6293764071877623,0.9059082788872418,1.0419310700807305,1
26,-0.4399941770342744,-0.3334211943708213,-0.3228935697328555,0.1981731609072344,0.2852563901591454,0
27,0.2690341983814934,-0.2235279974173089,0.3367275850121578,0.688499451795344,0.4423170830488069,1
28,-0.6184053882257717,-0.3464134935180346,-0.4956791413291662,-0.14875581849473,-0.0670367083224753,0
29,-1.150098555122713,-0.3263836989994141,-0.4119032730599213,-0.5465677148756493,-0.8201327901782199,1
30,-1.0825753639605686,-0.2560087452853422,-0.4266180009123518,-0.5465677148756493,-0.8201327901782199,1
31,-0.991460691246538,0.0146641536149346,-0.0926234080663367,-0.2643988116287182,0.2582180936616847,0
32,-0.9645807272003621,-0.3117673624587992,-0.3879266413274343,-0.5465677148756493,-0.8201327901782199,1
33,-0.5537888545701384,-0.3585937739685471,-0.2936950477924324,0.0501501296957295,0.0844572764647678,0
34,-0.9798863154826811,-0.3342332130675222,-0.4200669143533551,-0.5465677148756493,-0.8201327901782199,1
35,-1.0896751236518212,-0.3098726521664972,-0.4153858604040881,-0.5465677148756493,-0.8201327901782199,1
36,0.9430488268631492,-0.375186022671134,-0.4584510258551267,1.9513209368184947,0.7313882823672476,3
37,-1.0784488710735753,-0.3855365543250806,-0.4265124880717035,-0.5465677148756493,-0.8201327901782199,1
38,-0.46193166515209694,-0.1615439035691455,-0.2452520454821849,0.5451021403091987,-0.045565119927433,1
39,-0.6976133172819154,-0.3353159046631233,-0.3268751863610951,-0.2967788497062348,0.0124876931406444,0
40,-1.2154294346549186,-0.3493908954059376,-0.418985905438788,-0.5465677148756493,-0.8201327901782199,1
41,1.2669259860036846,-0.3893692825735085,-0.6991563411014899,1.11869138625378,1.8013891040535248,2
42,0.3828288759173572,-0.3895181526679037,-0.3879266413274343,0.4387105866259296,1.91113277807263,1
43,-0.5973971333619512,-0.3117673624587992,-0.3434652556454264,-0.5465677148756493,-0.8201327901782199,1
44,-1.16036592627253,-0.3323385027752202,-0.2930314450210591,-0.491059078171335,-0.7493560728760432,0
45,1.8008856267488926,-0.1818443709866663,0.1568912339700063,1.1603228637820155,1.7170932385026176,2
46,-1.1009319892510263,-0.3193462036280069,-0.5611269646558533,-0.5465677148756493,-0.8201327901782199,1
47,0.0852120269774053,-0.1829270625822674,-0.1808825766589794,0.3970791090976939,1.209727557167913,1
48,-1.1384387677361874,-0.3885924513536647,-0.4160395091338908,-0.5465677148756493,-0.8201327901782199,1
49,-1.1006006220818376,-0.3723168899427911,-0.4288377521825953,-0.5465677148756493,-0.8201327901782199,1
50,0.9605557003302052,0.2799235945372059,-0.7522445628113502,0.4849677838795249,2.1723704368789787,0
51,-1.096501932048874,-0.3512279714078423,-0.1702649323170073,-0.2921531299808753,0.5910277137848411,0
