,Levered_Free_Cash_Flow,Total_Debt/Equity_(mrq),Trailing_Annual_Dividend_Yield,Payout_Ratio,Return_on_Equity,discretized FADY
0,0.0308067074090882,-0.4166497467863072,-0.5465677148756493,-0.8201327901782199,-0.0680039055947013,1
1,-0.2200351401700013,0.0161775920406641,0.4294591471752105,1.5409466892618071,0.4721113560940383,1
2,-0.263832923080636,-0.4200603149792703,-0.5465677148756493,-0.8201327901782199,0.200429866627583,1
3,-0.4038358541683366,-0.5353375199014252,-0.5465677148756493,-0.8201327901782199,-0.2289978889843134,1
4,4.240702689001004,-0.4944107015858672,-0.5465677148756493,-0.8201327901782199,-0.125269777002122,1
5,4.240702689001004,-0.4944107015858672,-0.5465677148756493,-0.8201327901782199,-0.125269777002122,1
6,1.9598999637911343,-0.0766423330878255,-0.5465677148756493,-0.8201327901782199,-0.2101081050131156,1
7,-0.271796156337115,-0.5255255775616697,-0.5465677148756493,-0.8201327901782199,-0.2906382366798009,1
8,-0.6507133387912425,0.3340950179047227,1.373105971148554,2.207758795530067,-0.2331072454973459,2
9,0.1356559452860622,3.591292582744327,0.8596510816336466,1.5357776031667043,0.5936687729472903,1
10,-0.2352980039115861,-0.4428848867321777,0.2860618356890653,1.2073418251240196,-0.2321793262847256,1
11,-0.4173049996188996,-0.4609871332948282,-0.5465677148756493,-0.8201327901782199,-0.2260152915151769,1
12,4.99853705390926,0.4934997282158317,-0.324533168058392,-0.2105782529634066,0.8465267583863062,0
13,-0.0846601748098577,-0.3744111714734556,-0.1857615762976062,-0.2515333197169133,0.025251975273633,0
14,-0.1516840547185562,-0.3340090559568151,-0.2643988116287182,0.3842642699807295,0.212360256504129,0
15,0.3858341900937785,-0.1362485710448433,1.548883320712216,2.230423249947056,-0.1849880063286104,1
16,-0.3812906136137018,0.3102210405539806,-0.5465677148756493,-0.8201327901782199,-0.8263790220804739,1
17,-0.3248843780469753,0.384676367720361,-0.5465677148756493,-0.8201327901782199,0.2158730935233342,1
18,-0.2711325535657418,-0.3235149999784669,0.5543535797599177,1.0133022855540073,-0.217133779051526,1
19,-0.3726637775858495,-0.2733009421220708,-0.5465677148756493,-0.8201327901782199,-0.2220384948896615,1
20,-0.0196271032152789,5.042108980811822,-0.5465677148756493,-0.8201327901782199,2.014975886906468,1
21,0.4521944672311038,0.3183014636573087,0.2768103962383463,1.3982003886355068,0.1065774662654214,1
22,-0.3895398596646427,-0.4435145300908785,-0.5465677148756493,-0.8201327901782199,-0.0750958595768703,1
23,-0.2518880731959175,2.9379326575323685,-0.5465677148756493,-0.8201327901782199,-0.0281033794520309,1
24,-0.381954216385075,-0.2102841359720898,-0.1533815382200896,0.614885034223777,-0.0425524071914032,0
25,0.6293764071877623,-0.4515949531942066,0.9059082788872418,1.0419310700807305,-0.0825192132778322,1
26,-0.3228935697328555,-0.4939909393467334,0.1981731609072344,0.2852563901591454,-0.181674009140681,0
27,0.3367275850121578,0.0921020870440133,0.688499451795344,0.4423170830488069,-0.1738529757771675,1
28,-0.4956791413291662,-0.196274571240995,-0.14875581849473,-0.0670367083224753,-0.1991056343491899,0
29,-0.4119032730599213,-0.5420537157275681,-0.5465677148756493,-0.8201327901782199,-0.1376641264849781,1
30,-0.4266180009123518,-0.4725305948710113,-0.5465677148756493,-0.8201327901782199,-0.2547807871064044,1
31,-0.0926234080663367,-0.3322250664404959,-0.2643988116287182,0.2582180936616847,-0.1106881893752324,0
32,-0.3879266413274343,-0.3504847238428217,-0.5465677148756493,-0.8201327901782199,-0.2983267101557972,1
33,-0.2936950477924324,0.2858748306842127,0.0501501296957295,0.0844572764647678,-0.0878216087785193,0
34,-0.4200669143533551,-0.2949711677173598,-0.5465677148756493,-0.8201327901782199,-0.3079373020007926,1
35,-0.4153858604040881,0.0762035922368158,-0.5465677148756493,-0.8201327901782199,-0.1710692181393068,1
36,-0.4584510258551267,-0.353265648677084,1.9513209368184947,0.7313882823672476,-0.1522457141118676,3
37,-0.4265124880717035,0.0703793911688326,-0.5465677148756493,-0.8201327901782199,-0.2038777902998083,1
38,-0.2452520454821849,0.1757921834713402,0.5451021403091987,-0.045565119927433,0.0419545211007974,1
39,-0.3268751863610951,-0.3985475002236565,-0.2967788497062348,0.0124876931406444,-0.2075231872065306,0
40,-0.418985905438788,0.1279917584899641,-0.5465677148756493,-0.8201327901782199,0.1733213696303202,1
41,-0.6991563411014899,0.3374531158177942,1.11869138625378,1.8013891040535248,-0.2364212426852753,2
42,-0.3879266413274343,-0.4712713081536095,0.4387105866259296,1.91113277807263,-0.066280627056978,1
43,-0.3434652556454264,6.927510389100895,-0.5465677148756493,-0.8201327901782199,-0.1208737090963006,1
44,-0.2930314450210591,0.2105275087596728,-0.491059078171335,-0.7493560728760432,-0.196984676148915,0
45,0.1568912339700063,0.0364835903587678,1.1603228637820155,1.7170932385026176,-0.1147312659445064,2
46,-0.5611269646558533,-0.4211621908569968,-0.5465677148756493,-0.8201327901782199,-0.1994370340679828,1
47,-0.1808825766589794,0.0756788894378984,0.3970791090976939,1.209727557167913,-0.0933228441104822,1
48,-0.4160395091338908,-0.0915963628569718,-0.5465677148756493,-0.8201327901782199,0.3218547235933177,1
49,-0.4288377521825953,-0.3507470752422805,-0.5465677148756493,-0.8201327901782199,-0.4112677343204324,1
50,-0.7522445628113502,-0.3101875488859647,0.4849677838795249,2.1723704368789787,-0.3037616655440015,0
51,-0.1702649323170073,0.5109839699761244,-0.2921531299808753,0.5910277137848411,-0.1894950425041945,0
