,Payout_Ratio,Levered_Free_Cash_Flow,Profit_Margin,Total_Cash_(mrq),Operating_Cash_Flow,discretized FADY
0,-0.8201327901782199,0.0308067074090882,0.7804195077354459,-0.1940246514371787,-0.1254458946423101,1
1,1.5409466892618071,-0.2200351401700013,0.272935957633075,-0.3580524281707465,-0.3088779292575805,1
2,-0.8201327901782199,-0.263832923080636,2.6612053671434848,-0.1009131742154835,-0.2888354741689761,1
3,-0.8201327901782199,-0.4038358541683366,-0.3306092358261578,-0.3629245403509515,-0.4368189413156865,1
4,-0.8201327901782199,4.240702689001004,0.4865467172029398,2.8488800779997336,4.162332377682811,1
5,-0.8201327901782199,4.240702689001004,0.4865467172029398,2.8488800779997336,4.162332377682811,1
6,-0.8201327901782199,1.9598999637911343,-0.7041120728255366,1.3393373208328896,2.646512785220755,1
7,-0.8201327901782199,-0.271796156337115,-0.8734839176915831,-0.2411217358458269,-0.3947119217022558,1
8,2.207758795530067,-0.6507133387912425,-0.1934686002443216,-0.3822965997252443,-0.2910140018959983,2
9,1.5357776031667043,0.1356559452860622,0.8493058177742483,0.5427469793693748,-0.0143409805641771,1
10,1.2073418251240196,-0.2352980039115861,0.7696757713073759,-0.371638583658147,-0.2653073747171362,1
11,-0.8201327901782199,-0.4173049996188996,0.4827548102283267,-0.3802608688526153,-0.4466319016092854,1
12,-0.2105782529634066,4.99853705390926,0.6666622984970564,1.268421021321017,4.340971651298633,0
13,-0.2515333197169133,-0.0846601748098577,0.7007894612685733,-0.2116183898656967,-0.0962536231002124,0
14,0.3842642699807295,-0.1516840547185562,0.8644734456727003,-0.2627755677578491,-0.1441812330947011,0
15,2.230423249947056,0.3858341900937785,-0.1049907708366854,-0.2592568200721455,-0.0239265025630749,1
16,-0.8201327901782199,-0.3812906136137018,-1.7942853280267688,-0.3361279233598241,-0.4342465357756186,1
17,-0.8201327901782199,-0.3248843780469753,0.1509629499496908,-0.3447894561246329,-0.3973261549746824,1
18,1.0133022855540073,-0.2711325535657418,-0.4993490961964354,-0.2825346893775693,-0.3432986673445315,1
19,-0.8201327901782199,-0.3726637775858495,-0.0082971429840542,-0.3355865775620235,-0.4160614934270734,1
20,-0.8201327901782199,-0.0196271032152789,0.6913096938320408,-0.0207939961410015,-0.1193460170066479,1
21,1.3982003886355068,0.4521944672311038,1.5514405925734192,-0.0968530807319793,0.3124381784891549,1
22,-0.8201327901782199,-0.3895398596646427,0.6104156783736306,-0.3715324798817781,-0.4169329045178823,1
23,-0.8201327901782199,-0.2518880731959175,-0.389383793932659,-0.3821152488829811,0.1503557155987021,1
24,0.614885034223777,-0.381954216385075,0.0378377252070702,-0.3951852311521788,-0.403861738155749,0
25,1.0419310700807305,0.6293764071877623,0.5459532598052097,0.2493375569614747,0.3215879949426482,1
26,0.2852563901591454,-0.3228935697328555,-0.2535071273423605,-0.3334211943708213,-0.3751051721590558,0
27,0.4423170830488069,0.3367275850121578,-0.1410138870955087,-0.2235279974173089,0.7647005346189665,1
28,-0.0670367083224753,-0.4956791413291662,-0.5284203830018017,-0.3464134935180346,-0.6731277652156947,0
29,-0.8201327901782199,-0.4119032730599213,1.1615061586840507,-0.3263836989994141,-0.4130115546092424,1
30,-0.8201327901782199,-0.4266180009123518,0.1326353995723947,-0.2560087452853422,-0.4523984645027132,1
31,0.2582180936616847,-0.0926234080663367,-0.7685744913939572,0.0146641536149346,0.0070085911606405,0
32,-0.8201327901782199,-0.3879266413274343,-0.959433809116144,-0.3117673624587992,-0.4278255431529934,1
33,0.0844572764647678,-0.2936950477924324,0.720380980637407,-0.3585937739685471,-0.2396007475382741,0
34,-0.8201327901782199,-0.4200669143533551,-1.041591793566092,-0.3342332130675222,-0.4511719533923997,1
35,-0.8201327901782199,-0.4153858604040881,-0.2326516389819891,-0.3098726521664972,-0.4427528151385496,1
36,0.7313882823672476,-0.4584510258551267,1.6702536777779589,-0.375186022671134,-0.2252224645399275,3
37,-0.8201327901782199,-0.4265124880717035,-0.6851525379524716,-0.3855365543250806,-0.3746694666136514,1
38,-0.045565119927433,-0.2452520454821849,0.7728356937862199,-0.1615439035691455,-0.3450414895261492,1
39,0.0124876931406444,-0.3268751863610951,-0.106254739828223,-0.3353159046631233,-0.3790265220676958,0
40,-0.8201327901782199,-0.418985905438788,0.3993328567868411,-0.3493908954059376,-0.4354486473753895,1
41,1.8013891040535248,-0.6991563411014899,-0.288898259105415,-0.3893692825735085,-0.3001638183494917,2
42,1.91113277807263,-0.3879266413274343,0.0511093996182157,-0.3895181526679037,-0.4151900823362646,1
43,-0.8201327901782199,-0.3434652556454264,0.4732750427917943,-0.3117673624587992,-0.3764122887952691,1
44,-0.7493560728760432,-0.2930314450210591,-0.3697922745638253,-0.3323385027752202,-0.3842549886125491,0
45,1.7170932385026176,0.1568912339700063,0.4227162831302878,-0.1818443709866663,-0.1093247894623457,2
46,-0.8201327901782199,-0.5611269646558533,0.2343849033911764,-0.3193462036280069,-0.3912262773390202,1
47,1.209727557167913,-0.1808825766589794,0.0068704849143975,-0.1829270625822674,-0.2683573135349673,1
48,-0.8201327901782199,-0.4160395091338908,0.5162499885040748,-0.3885924513536647,-0.4391499659836003,1
49,-0.8201327901782199,-0.4288377521825953,-2.5254913896313056,-0.3723168899427911,-0.4578456552313595,1
50,2.1723704368789787,-0.7522445628113502,-1.1294376384779594,0.2799235945372059,0.1586341209613866,0
51,0.5910277137848411,-0.1702649323170073,0.1749783607889065,-0.3512279714078423,-0.2740214856252251,0
