,Return_on_Equity,Trailing_Annual_Dividend_Yield,Total_Cash_(mrq),Profit_Margin,Levered_Free_Cash_Flow,discretized FADY
0,-0.0680039055947013,-0.5465677148756493,-0.1940246514371787,0.7804195077354459,0.0308067074090882,1
1,0.4721113560940383,0.4294591471752105,-0.3580524281707465,0.272935957633075,-0.2200351401700013,1
2,0.200429866627583,-0.5465677148756493,-0.1009131742154835,2.6612053671434848,-0.263832923080636,1
3,-0.2289978889843134,-0.5465677148756493,-0.3629245403509515,-0.3306092358261578,-0.4038358541683366,1
4,-0.125269777002122,-0.5465677148756493,2.8488800779997336,0.4865467172029398,4.240702689001004,1
5,-0.125269777002122,-0.5465677148756493,2.8488800779997336,0.4865467172029398,4.240702689001004,1
6,-0.2101081050131156,-0.5465677148756493,1.3393373208328896,-0.7041120728255366,1.9598999637911343,1
7,-0.2906382366798009,-0.5465677148756493,-0.2411217358458269,-0.8734839176915831,-0.271796156337115,1
8,-0.2331072454973459,1.373105971148554,-0.3822965997252443,-0.1934686002443216,-0.6507133387912425,2
9,0.5936687729472903,0.8596510816336466,0.5427469793693748,0.8493058177742483,0.1356559452860622,1
10,-0.2321793262847256,0.2860618356890653,-0.371638583658147,0.7696757713073759,-0.2352980039115861,1
11,-0.2260152915151769,-0.5465677148756493,-0.3802608688526153,0.4827548102283267,-0.4173049996188996,1
12,0.8465267583863062,-0.324533168058392,1.268421021321017,0.6666622984970564,4.99853705390926,0
13,0.025251975273633,-0.1857615762976062,-0.2116183898656967,0.7007894612685733,-0.0846601748098577,0
14,0.212360256504129,-0.2643988116287182,-0.2627755677578491,0.8644734456727003,-0.1516840547185562,0
15,-0.1849880063286104,1.548883320712216,-0.2592568200721455,-0.1049907708366854,0.3858341900937785,1
16,-0.8263790220804739,-0.5465677148756493,-0.3361279233598241,-1.7942853280267688,-0.3812906136137018,1
17,0.2158730935233342,-0.5465677148756493,-0.3447894561246329,0.1509629499496908,-0.3248843780469753,1
18,-0.217133779051526,0.5543535797599177,-0.2825346893775693,-0.4993490961964354,-0.2711325535657418,1
19,-0.2220384948896615,-0.5465677148756493,-0.3355865775620235,-0.0082971429840542,-0.3726637775858495,1
20,2.014975886906468,-0.5465677148756493,-0.0207939961410015,0.6913096938320408,-0.0196271032152789,1
21,0.1065774662654214,0.2768103962383463,-0.0968530807319793,1.5514405925734192,0.4521944672311038,1
22,-0.0750958595768703,-0.5465677148756493,-0.3715324798817781,0.6104156783736306,-0.3895398596646427,1
23,-0.0281033794520309,-0.5465677148756493,-0.3821152488829811,-0.389383793932659,-0.2518880731959175,1
24,-0.0425524071914032,-0.1533815382200896,-0.3951852311521788,0.0378377252070702,-0.381954216385075,0
25,-0.0825192132778322,0.9059082788872418,0.2493375569614747,0.5459532598052097,0.6293764071877623,1
26,-0.181674009140681,0.1981731609072344,-0.3334211943708213,-0.2535071273423605,-0.3228935697328555,0
27,-0.1738529757771675,0.688499451795344,-0.2235279974173089,-0.1410138870955087,0.3367275850121578,1
28,-0.1991056343491899,-0.14875581849473,-0.3464134935180346,-0.5284203830018017,-0.4956791413291662,0
29,-0.1376641264849781,-0.5465677148756493,-0.3263836989994141,1.1615061586840507,-0.4119032730599213,1
30,-0.2547807871064044,-0.5465677148756493,-0.2560087452853422,0.1326353995723947,-0.4266180009123518,1
31,-0.1106881893752324,-0.2643988116287182,0.0146641536149346,-0.7685744913939572,-0.0926234080663367,0
