,Ticker,Trailing_Annual_Dividend_Yield,5_Year_Average_Dividend_Yield,Payout_Ratio,Profit_Margin,Return_on_Equity,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,Levered_Free_Cash_Flow,discretized FADY
0,ADBE,-0.5465677148756493,-1.5516806421923297,-0.8201327901782199,0.7804195077354459,-0.0680039055947013,-0.1940246514371787,-0.4166497467863072,-0.1254458946423101,0.0308067074090882,1
1,ADP,0.4294591471752105,0.0764585902438773,1.5409466892618071,0.272935957633075,0.4721113560940383,-0.3580524281707465,0.0161775920406641,-0.3088779292575805,-0.2200351401700013,1
2,ABNB,-0.5465677148756493,,-0.8201327901782199,2.6612053671434848,0.200429866627583,-0.1009131742154835,-0.4200603149792703,-0.2888354741689761,-0.263832923080636,1
3,ALGN,-0.5465677148756493,,-0.8201327901782199,-0.3306092358261578,-0.2289978889843134,-0.3629245403509515,-0.5353375199014252,-0.4368189413156865,-0.4038358541683366,1
4,GOOGL,-0.5465677148756493,,-0.8201327901782199,0.4865467172029398,-0.125269777002122,2.8488800779997336,-0.4944107015858672,4.162332377682811,4.240702689001004,1
5,GOOG,-0.5465677148756493,,-0.8201327901782199,0.4865467172029398,-0.125269777002122,2.8488800779997336,-0.4944107015858672,4.162332377682811,4.240702689001004,1
6,AMZN,-0.5465677148756493,,-0.8201327901782199,-0.7041120728255366,-0.2101081050131156,1.3393373208328896,-0.0766423330878255,2.646512785220755,1.9598999637911343,1
7,AMD,-0.5465677148756493,,-0.8201327901782199,-0.8734839176915831,-0.2906382366798009,-0.2411217358458269,-0.5255255775616697,-0.3947119217022558,-0.271796156337115,1
8,AEP,1.373105971148554,1.2931862962042688,2.207758795530067,-0.1934686002443216,-0.2331072454973459,-0.3822965997252443,0.3340950179047227,-0.2910140018959983,-0.6507133387912425,2
9,AMGN,0.8596510816336466,0.9342953901296208,1.5357776031667043,0.8493058177742483,0.5936687729472903,0.5427469793693748,3.591292582744327,-0.0143409805641771,0.1356559452860622,1
10,ADI,0.2860618356890653,-0.0548429607590425,1.2073418251240196,0.7696757713073759,-0.2321793262847256,-0.371638583658147,-0.4428848867321777,-0.2653073747171362,-0.2352980039115861,1
11,ANSS,-0.5465677148756493,,-0.8201327901782199,0.4827548102283267,-0.2260152915151769,-0.3802608688526153,-0.4609871332948282,-0.4466319016092854,-0.4173049996188996,1
12,AAPL,-0.324533168058392,-0.9389400708453702,-0.2105782529634066,0.6666622984970564,0.8465267583863062,1.268421021321017,0.4934997282158317,4.340971651298633,4.99853705390926,0
13,AMAT,-0.1857615762976062,-0.6588300953724744,-0.2515333197169133,0.7007894612685733,0.025251975273633,-0.2116183898656967,-0.3744111714734556,-0.0962536231002124,-0.0846601748098577,0
14,ASML,-0.2643988116287182,-0.8864194504442022,0.3842642699807295,0.8644734456727003,0.212360256504129,-0.2627755677578491,-0.3340090559568151,-0.1441812330947011,-0.1516840547185562,0
15,AZN,1.548883320712216,0.6366785411896692,2.230423249947056,-0.1049907708366854,-0.1849880063286104,-0.2592568200721455,-0.1362485710448433,-0.0239265025630749,0.3858341900937785,1
16,TEAM,-0.5465677148756493,,-0.8201327901782199,-1.7942853280267688,-0.8263790220804739,-0.3361279233598241,0.3102210405539806,-0.4342465357756186,-0.3812906136137018,1
17,ADSK,-0.5465677148756493,-1.236556919785322,-0.8201327901782199,0.1509629499496908,0.2158730935233342,-0.3447894561246329,0.384676367720361,-0.3973261549746824,-0.3248843780469753,1
18,BKR,0.5543535797599177,1.118117561533709,1.0133022855540073,-0.4993490961964354,-0.217133779051526,-0.2825346893775693,-0.3235149999784669,-0.3432986673445315,-0.2711325535657418,1
19,BIIB,-0.5465677148756493,,-0.8201327901782199,-0.0082971429840542,-0.2220384948896615,-0.3355865775620235,-0.2733009421220708,-0.4160614934270734,-0.3726637775858495,1
20,BKNG,-0.5465677148756493,,-0.8201327901782199,0.6913096938320408,2.014975886906468,-0.0207939961410015,,-0.1193460170066479,-0.0196271032152789,1
21,AVGO,0.2768103962383463,1.0305831941984287,1.3982003886355068,1.5514405925734192,0.1065774662654214,-0.0968530807319793,0.3183014636573087,0.3124381784891549,0.4521944672311038,1
22,CDNS,-0.5465677148756493,,-0.8201327901782199,0.6104156783736306,-0.0750958595768703,-0.3715324798817781,-0.4435145300908785,-0.4169329045178823,-0.3895398596646427,1
23,CHTR,-0.5465677148756493,,-0.8201327901782199,-0.389383793932659,-0.0281033794520309,-0.3821152488829811,2.9379326575323685,0.1503557155987021,-0.2518880731959175,1
24,CTAS,-0.1533815382200896,-0.7726247729083382,0.614885034223777,0.0378377252070702,-0.0425524071914032,-0.3951852311521788,-0.2102841359720898,-0.403861738155749,-0.381954216385075,0
25,CSCO,0.9059082788872418,0.9518022635966767,1.0419310700807305,0.5459532598052097,-0.0825192132778322,0.2493375569614747,-0.4515949531942066,0.3215879949426482,0.6293764071877623,1
26,CTSH,0.1981731609072344,-0.4399941770342744,0.2852563901591454,-0.2535071273423605,-0.181674009140681,-0.3334211943708213,-0.4939909393467334,-0.3751051721590558,-0.3228935697328555,0
27,CMCSA,0.688499451795344,0.2690341983814934,0.4423170830488069,-0.1410138870955087,-0.1738529757771675,-0.2235279974173089,0.0921020870440133,0.7647005346189665,0.3367275850121578,1
28,CEG,-0.14875581849473,,-0.0670367083224753,-0.5284203830018017,-0.1991056343491899,-0.3464134935180346,-0.196274571240995,-0.6731277652156947,-0.4956791413291662,0
