,5_Year_Average_Dividend_Yield,Payout_Ratio,Total_Debt/Equity_(mrq),Return_on_Equity,Trailing_Annual_Dividend_Yield,discretized FADY
0,-0.0830009262265763,1.1751257396002903,-0.4567522945847493,-0.2319693703998139,0.3285165562644149,1
1,0.0634712965262057,1.5077216529990547,-0.0353672387453159,0.4131400190113339,0.4684209000238712,2
2,-1.401250931001616,-0.8462170046432139,0.3028871042836406,0.1784333655703874,-0.5784495343141292,2
3,1.4207805607019877,2.1725170603527237,0.2564572044288898,-0.2328193168944267,1.4332784431925352,4
4,,-0.8462170046432139,-0.5416169040702998,-0.2290552681325698,-0.5784495343141292,2
5,-0.7567731508893746,-0.2793371999230313,-0.3938985401133286,0.0038300713913491,-0.1876822293308202,0
6,1.0204231518443827,1.5025682002288712,3.246321201610797,0.5244830098056166,0.9122553698814566,3
7,,-0.8462170046432139,-0.4733688043875387,-0.2263232972570285,-0.5784495343141292,2
8,-1.0106583369941968,0.3545374908095363,-0.3568124167853637,0.1752157109836388,-0.2648708327843134,0
9,1.127836115196423,1.3372612921391396,0.2419599016734127,0.105337967033683,0.3815837211386915,2
10,0.6884194469380767,2.1951129686527584,-0.1752830676644557,-0.1887435201023607,1.5876556500995216,2
11,,-0.8462170046432139,-0.301086904200357,-0.2226806694229735,-0.5784495343141292,2
12,,-0.8462170046432139,,1.8263581976968883,-0.5784495343141292,2
13,1.225484263698278,0.9816730509964796,-0.3471796574793989,-0.2181880950943056,0.5214880648981477,2
14,,-0.8462170046432139,-0.4573302601431072,-0.0880855709546397,-0.5784495343141292,2
15,,-0.0953985779718672,-0.2303824508945748,-0.2016748489132561,-0.1828579416149769,0
16,,-0.8462170046432139,2.646585607221424,-0.0450418520488893,-0.5784495343141292,2
17,0.2782972232302865,0.4124147296131354,0.0343257748333399,-0.1785441621670066,0.733756724395254,2
18,-1.127836115196423,0.2288725271058316,-0.3551748477033498,-0.1206870900694323,-0.2648708327843134,0
19,,-0.8462170046432139,-0.5477818700261174,-0.1453962488771057,-0.5784495343141292,2
20,,-0.8462170046432139,-0.3719358488957286,-0.2925584133729294,-0.5784495343141292,2
21,1.0399527815447538,1.0102152509544189,-0.4647474848087002,-0.0948851429115424,0.9653225347557332,3
22,,-0.8462170046432139,-0.4839648396241001,-0.2526716385900267,-0.5784495343141292,2
23,-0.6395953726871487,0.0556372301388946,0.2121946754179813,-0.0997419800236158,0.0631807318930324,1
24,-0.8837157439417858,0.5844607682484917,-0.2432421845680379,-0.0582767331792892,-0.1587365030357603,0
25,-0.5126527796347377,0.2558290492883298,-0.5036638324047983,-0.1857079969073148,0.2175579388000185,1
26,,-0.8462170046432139,0.0143859630699926,-0.2060460023141221,-0.5784495343141292,2
27,,-0.8462170046432139,0.0197321444848031,-0.175994322683168,-0.5784495343141292,2
28,,-0.0161146891998137,-0.4160538865170478,-0.2093850778286726,-0.3131137099427465,0
29,,-0.8462170046432139,0.0672698116597397,0.1394572477459985,-0.5784495343141292,2
30,1.391486116151431,1.7673763887275302,0.2595396874067986,-0.2358548400894725,1.196888345116213,4
31,1.0204231518443827,0.7006116652995501,-0.3744885301118094,-0.1587525509353075,1.9157072147768672,4
32,0.4052398162826977,1.8767881552329635,-0.4828089085073843,-0.0800110792558177,0.5166637771823045,2
33,,-0.8462170046432139,6.30871987636662,,-0.5784495343141292,2
34,,-0.7756543436360863,0.1430314636011535,-0.1997321140684267,-0.5157337940081661,0
35,,-0.8462170046432139,-0.4368124828214021,-0.2019784012327607,-0.5784495343141292,2
36,,-0.8462170046432139,-0.5057830394521106,-0.1340433921276342,-0.5784495343141292,2
37,,-0.8462170046432139,-0.5057830394521106,-0.1340433921276342,-0.5784495343141292,2
38,0.0732361113763912,1.1775042562634517,0.0192505065195049,-0.104780948527392,0.434650886012968,2
39,,-0.8462170046432139,-0.1342956768175752,0.2755093973479544,-0.5784495343141292,2
40,,-0.8462170046432139,-0.3721766678783777,-0.3960090438600926,-0.5784495343141292,2
41,-1.2450138933986483,0.5606756016168756,,-0.1928718316476231,-0.30346513451106,0
42,,-0.8462170046432139,,-0.2103564452510873,-0.5784495343141292,2
43,,0.2768392798129239,-0.4441333798939353,-0.2352477354504634,6.942615014685607,2
44,0.2880620380804718,1.5120822668815177,-0.2789797215931676,-0.2411366504488524,0.6662166963734474,2
45,2.944091677330922,1.774908358160875,-0.3637480034856584,-0.2508503246729992,1.6214256641104243,4
46,-0.3759453717321407,0.0758546217757683,0.419347164292756,0.451994715907921,-0.1201422013090138,1
47,,-0.8462170046432139,-0.343326553757013,-0.6599781409012813,-0.5784495343141292,2
48,-0.5126527796347377,0.1186679217126772,-0.2593770564055291,0.0241680767981564,-0.0960207627297971,1
49,,-0.8462170046432139,-0.3950063074335145,-0.0964636149729663,-0.5784495343141292,2
50,-0.6103009281365923,-0.0728026696718319,,8.495584788604363,-0.139439352172387,0
51,-0.4442990756834392,0.4393712517956336,-0.1355479355273506,-0.0539662902423241,0.2754493913901384,1
52,0.1904138895786169,1.0292433842597115,-0.2128026651611889,-0.1866186538658286,0.4925423386030879,2
53,-1.5379583389042129,-0.8462170046432139,0.3630436861493911,-0.0137152526760159,-0.5784495343141292,2
54,,-0.8462170046432139,-0.5543803101507033,-0.158388288151902,-0.5784495343141292,2
55,-1.5477231537543985,0.4048827601797903,-0.4048798857221285,-0.3631646828896963,-0.28899227136353,0
56,,-0.8462170046432139,-0.192477543025603,-0.1589346823270103,-0.5784495343141292,2
57,-0.6103009281365923,0.5832715099169108,0.0538802762244486,-0.0737579014740232,0.3381651316961016,2
58,-1.5379583389042129,-0.3169970470897568,-0.5482153441948858,-0.0901497267272709,-0.3903023133962397,0
59,,-0.8462170046432139,-0.3176070864100868,-0.0826823396674581,-0.5784495343141292,2
60,,-0.8462170046432139,,,-0.5784495343141292,2
61,,-0.8462170046432139,-0.0645063356458596,-0.0095262306668526,-0.5784495343141292,2
62,0.7860675954399315,2.1741027381281643,-0.4412917158986757,0.0005517063406996,0.7482295875427838,3
63,-0.3759453717321407,-0.3316645665125867,-0.1667099118821469,-0.1154659901739534,-0.0429535978555206,1
64,,-0.8462170046432139,-0.497161719873272,-0.0758220572466544,-0.5784495343141292,2
65,0.8153620399904877,2.34495951843194,0.5790583135856536,-0.0212433501997297,0.8061210401329036,3
66,,-0.8462170046432139,-0.2835552822635009,-0.1735659041271313,-0.5784495343141292,2
67,0.600536113286407,1.038757450912358,-0.1991241469467188,-0.0627693075079572,0.5793795174882675,2
68,,-0.8462170046432139,-0.5054458928764018,-0.1832795783512781,-0.5784495343141292,2
69,-0.9423046330428988,0.188041324388224,0.0497381897228837,-0.0497165577692599,-0.0911964750139538,0
70,,-0.8462170046432139,-0.5341515156081771,-0.45738732286392,-0.5784495343141292,2
71,-0.7079490766384472,0.3529518130340953,,,0.420178022865438,2
72,,-0.8462170046432139,0.2345426770078198,-0.7762386792715381,-0.5784495343141292,2
73,,-0.8462170046432139,0.2902200257962968,-0.2177631218469992,-0.3710051625328665,0
74,,-0.8462170046432139,-0.5022670823054334,-0.2422294387990689,-0.5784495343141292,2
75,0.6786546320878909,1.700777922159005,-0.2326943131280063,-0.0109225713365737,0.9894439733349498,3
76,,0.1428495077881535,3.214581259697643,0.1176014807416682,-0.3131137099427465,0
77,,-0.8462170046432139,-0.5359817398763105,-0.1452141174854029,-0.5784495343141292,2
78,,-0.8462170046432139,-0.0899849840101368,-0.3479870669144669,-0.5784495343141292,2
79,,-0.8462170046432139,-0.3195336382712797,-0.281084135695656,-0.5784495343141292,2
80,0.8055972251403025,1.7221845721274596,0.1987569761861603,-0.2251090879790102,1.0473354259250698,3
81,,-0.8462170046432139,-0.55255008588257,-0.2662100720399312,-0.5784495343141292,2
82,,-0.8462170046432139,0.1674023446452447,-0.4521662229684411,-0.5784495343141292,2
