,Trailing_Annual_Dividend_Yield,Payout_Ratio,Return_on_Equity,Total_Cash_(mrq),Levered_Free_Cash_Flow,discretized FADY
0,0.3285165562644149,1.1751257396002903,-0.2319693703998139,-0.3087612167865234,-0.1659577406017546,1
1,0.4684209000238712,1.5077216529990547,0.4131400190113339,-0.2951291506442017,-0.1480050802059724,2
2,-0.5784495343141292,-0.8462170046432139,0.1784333655703874,-0.2818213600522232,-0.2736737029764481,2
3,1.4332784431925352,2.1725170603527237,-0.2328193168944267,-0.3194552486712121,-0.6545823235478282,4
4,-0.5784495343141292,-0.8462170046432139,-0.2290552681325698,-0.3000177267800305,-0.3641972610955982,2
5,-0.1876822293308202,-0.2793371999230313,0.0038300713913491,-0.1482002790062354,0.0112272120000963,0
6,0.9122553698814566,1.5025682002288712,0.5244830098056166,0.6087142593579274,0.2703699620609532,3
7,-0.5784495343141292,-0.8462170046432139,-0.2263232972570285,-0.317412638609125,-0.3800400936196501,2
8,-0.2648708327843134,0.3545374908095363,0.1752157109836388,-0.199530328432438,-0.0676083836509475,0
9,0.3815837211386915,1.3372612921391396,0.105337967033683,-0.0330471522511564,0.6544007844402954,2
10,1.5876556500995216,2.1951129686527584,-0.1887435201023607,-0.1959996901121172,0.5646374824613841,2
11,-0.5784495343141292,-0.8462170046432139,-0.2226806694229735,-0.2725873829067688,-0.3275316841637949,2
12,-0.5784495343141292,-0.8462170046432139,1.8263581976968883,0.0432689529803935,0.0877211562951685,2
13,0.5214880648981477,0.9816730509964796,-0.2181880950943056,-0.2193562205388549,-0.2081074650092434,2
14,-0.5784495343141292,-0.8462170046432139,-0.0880855709546397,-0.3086547544617876,-0.3473818627083662,2
15,-0.1828579416149769,-0.0953985779718672,-0.2016748489132561,-0.2834508854308328,-0.47222622420154,0
16,-0.5784495343141292,-0.8462170046432139,-0.0450418520488893,-0.319273285003934,-0.1854715019015179,2
17,0.733756724395254,0.4124147296131354,-0.1785441621670066,-0.1601501317827058,0.5068767490140846,2
18,-0.2648708327843134,0.2288725271058316,-0.1206870900694323,0.0788469237467033,0.0018606065762099,0
19,-0.5784495343141292,-0.8462170046432139,-0.1453962488771057,-0.2633534057613143,-0.3736864129404471,2
20,-0.5784495343141292,-0.8462170046432139,-0.2925584133729294,-0.2486876773538278,-0.3454843445595772,2
21,0.9653225347557332,1.0102152509544189,-0.0948851429115424,0.3143133409557916,0.8510994983419097,3
22,-0.5784495343141292,-0.8462170046432139,-0.2526716385900267,-0.192740639354898,-0.3909943386628852,2
23,0.0631807318930324,0.0556372301388946,-0.0997419800236158,-0.2956723257704049,-0.2346461803769215,1
24,-0.1587365030357603,0.5844607682484917,-0.0582767331792892,-0.3323874336634211,-0.3384593904916624,0
25,0.2175579388000185,0.2558290492883298,-0.1857079969073148,-0.270414682401956,-0.268990400264505,1
26,-0.5784495343141292,-0.8462170046432139,-0.2060460023141221,-0.3227061518015383,-0.3908702311410187,2
27,-0.5784495343141292,-0.8462170046432139,-0.175994322683168,-0.2467865644121166,-0.3777827417124935,2
28,-0.3131137099427465,-0.0161146891998137,-0.2093850778286726,-0.2723157953436672,-0.2736737029764481,0
29,-0.5784495343141292,-0.8462170046432139,0.1394572477459985,-0.2864383486249504,-0.3820172279145421,2
30,1.196888345116213,1.7673763887275302,-0.2358548400894725,-0.3265518316950569,-0.7115625065431371,4
31,1.9157072147768672,0.7006116652995501,-0.1587525509353075,-0.312320643388533,-0.4284373438448711,4
32,0.5166637771823045,1.8767881552329635,-0.0800110792558177,-0.3267012048547628,-0.3454843445595772,2
33,-0.5784495343141292,-0.8462170046432139,,-0.2486876773538278,-0.2931874642762115,2
34,-0.5157337940081661,-0.7756543436360863,-0.1997321140684267,-0.2693283321495496,-0.233865629924931,0
35,-0.5784495343141292,-0.8462170046432139,-0.2019784012327607,-0.2562921291206727,-0.5492080125291062,2
36,-0.5784495343141292,-0.8462170046432139,-0.1340433921276342,2.922640296983571,5.176910103273443,2
37,-0.5784495343141292,-0.8462170046432139,-0.1340433921276342,2.922640296983571,5.176910103273443,2
38,0.434650886012968,1.1775042562634517,-0.104780948527392,-0.1194119973174656,-0.1019526035385309,2
39,-0.5784495343141292,-0.8462170046432139,0.2755093973479544,-0.3257723753889553,-0.3785515839077041,2
40,-0.5784495343141292,-0.8462170046432139,-0.3960090438600926,-0.3094418152196561,-0.3936052799247935,2
