,Total_Cash_(mrq),Total_Debt/Equity_(mrq),Operating_Cash_Flow,5_Year_Average_Dividend_Yield,Trailing_Annual_Dividend_Yield,discretized FADY
0,-0.1940246514371787,-0.4166497467863072,-0.1254458946423101,-1.5516806421923297,-0.5465677148756493,1
1,-0.3580524281707465,0.0161775920406641,-0.3088779292575805,0.0764585902438773,0.4294591471752105,1
2,-0.1009131742154835,-0.4200603149792703,-0.2888354741689761,-0.6528593680749283,-0.5465677148756493,1
3,-0.3629245403509515,-0.5353375199014252,-0.4368189413156865,-0.38867153329714765,-0.5465677148756493,1
4,2.8488800779997336,-0.4944107015858672,4.162332377682811,-0.1717130961175159,-0.5465677148756493,1
5,2.8488800779997336,-0.4944107015858672,4.162332377682811,-0.30919802424414894,-0.5465677148756493,1
6,1.3393373208328896,-0.0766423330878255,2.646512785220755,0.34121662851656687,-0.5465677148756493,1
7,-0.2411217358458269,-0.5255255775616697,-0.3947119217022558,0.4637584247488647,-0.5465677148756493,1
8,-0.3822965997252443,0.3340950179047227,-0.2910140018959983,1.2931862962042688,1.373105971148554,2
9,0.5427469793693748,3.591292582744327,-0.0143409805641771,0.9342953901296208,0.8596510816336466,1
10,-0.371638583658147,-0.4428848867321777,-0.2653073747171362,-0.0548429607590425,0.2860618356890653,1
11,-0.3802608688526153,-0.4609871332948282,-0.4466319016092854,-0.2554645466511107,-0.5465677148756493,1
12,1.268421021321017,0.4934997282158317,4.340971651298633,-0.9389400708453702,-0.324533168058392,0
13,-0.2116183898656967,-0.3744111714734556,-0.0962536231002124,-0.6588300953724744,-0.1857615762976062,0
14,-0.2627755677578491,-0.3340090559568151,-0.1441812330947011,-0.8864194504442022,-0.2643988116287182,0
15,-0.2592568200721455,-0.1362485710448433,-0.0239265025630749,0.6366785411896692,1.548883320712216,1
16,-0.3361279233598241,0.3102210405539806,-0.4342465357756186,-0.39856063575700285,-0.5465677148756493,1
17,-0.3447894561246329,0.384676367720361,-0.3973261549746824,-1.236556919785322,-0.5465677148756493,1
18,-0.2825346893775693,-0.3235149999784669,-0.3432986673445315,1.118117561533709,0.5543535797599177,1
19,-0.3355865775620235,-0.2733009421220708,-0.4160614934270734,-0.1122529902862313,-0.5465677148756493,1
20,-0.0207939961410015,0.33918735627928465,-0.1193460170066479,0.20153126682161054,-0.5465677148756493,1
21,-0.0968530807319793,0.3183014636573087,0.3124381784891549,1.0305831941984287,0.2768103962383463,1
22,-0.3715324798817781,-0.4435145300908785,-0.4169329045178823,0.18496572659773025,-0.5465677148756493,1
23,-0.3821152488829811,2.9379326575323685,0.1503557155987021,0.09935698054240671,-0.5465677148756493,1
24,-0.3951852311521788,-0.2102841359720898,-0.403861738155749,-0.7726247729083382,-0.1533815382200896,0
25,0.2493375569614747,-0.4515949531942066,0.3215879949426482,0.9518022635966767,0.9059082788872418,1
26,-0.3334211943708213,-0.4939909393467334,-0.3751051721590558,-0.4399941770342744,0.1981731609072344,0
27,-0.2235279974173089,0.0921020870440133,0.7647005346189665,0.2690341983814934,0.688499451795344,1
28,-0.3464134935180346,-0.196274571240995,-0.6731277652156947,-0.1940347877760416,-0.14875581849473,0
29,-0.3263836989994141,-0.5420537157275681,-0.4130115546092424,-0.2871422269780428,-0.5465677148756493,1
30,-0.2560087452853422,-0.4725305948710113,-0.4523984645027132,-0.585154116347476,-0.5465677148756493,1
31,0.0146641536149346,-0.3322250664404959,0.0070085911606405,-0.991460691246538,-0.2643988116287182,0
32,-0.3117673624587992,-0.3504847238428217,-0.4278255431529934,-0.6866284238510881,-0.5465677148756493,1
33,-0.3585937739685471,0.2858748306842127,-0.2396007475382741,-0.5537888545701384,0.0501501296957295,0
34,-0.3342332130675222,-0.2949711677173598,-0.4511719533923997,-0.3281827726561316,-0.5465677148756493,1
35,-0.3098726521664972,0.0762035922368158,-0.4427528151385496,-0.12152736729780818,-0.5465677148756493,1
36,-0.375186022671134,-0.353265648677084,-0.2252224645399275,0.9430488268631492,1.9513209368184947,3
37,-0.3855365543250806,0.0703793911688326,-0.3746694666136514,0.3138999220863431,-0.5465677148756493,1
