,Unnamed: 0,UMAP 1,UMAP 2,discretized FADY
27,27,8.13965,-0.10586657,1
28,28,8.867975,1.8799608,0
29,29,12.092287,0.16361934,1
30,30,10.508996,1.7761886,1
31,31,9.6503315,2.8825953,0
32,32,9.045934,2.7576382,1
33,33,11.868937,0.69348085,0
34,34,8.716025,2.5718439,1
35,35,9.013001,1.3640171,1
37,37,7.6015897,-0.9029002,1
38,38,10.17889,-1.4535877,1
40,40,9.520564,-1.4832345,1
42,42,9.179778,-0.46970934,1
51,51,11.031067,2.224667,0
