,Unnamed: 0,UMAP 1,UMAP 2,discretized FADY
26,26,1.4302601,-0.80122834,0
27,27,2.4932923,-0.3063123,1
28,28,0.5120162,-0.6736175,0
29,29,1.4259863,8.050746,1
30,30,1.9477371,8.091885,1
32,32,2.2430668,7.0764008,1
34,34,2.3464155,6.984143,1
35,35,2.1558945,5.490954,1
38,38,1.6017092,-0.080956265,1
40,40,1.6848892,5.1159067,1
43,43,2.3040376,3.9724965,1
44,44,2.298665,5.175191,0
46,46,1.9863027,7.799369,1
51,51,1.1910117,-0.9711347,0
