,Unnamed: 0,Umap 1,Umap 2,discretized FADY
22,22,-6.670407,1.1966467,2
23,23,-6.8971753,0.75709146,1
24,24,-7.033303,0.5074683,0
26,26,-7.383089,-0.18889715,2
27,27,-7.5125623,-0.4270566,2
28,28,-7.637397,-0.6128514,0
29,29,-7.747969,-0.9002186,2
32,32,-8.164727,-1.7787108,2
33,33,-8.339906,-1.965211,2
35,35,-8.38404,-2.3898866,2
36,36,-8.636898,-2.6264021,2
