,Unnamed: 0,UMAP 1,UMAP 2,discretized FADY
30,30,1.1182452,6.3403254,1
32,32,-1.7419912,5.5046697,1
33,33,3.7133071,6.5794573,0
34,34,-1.6951616,5.3857584,1
35,35,0.14520463,5.515624,1
37,37,-0.5150594,5.192068,1
38,38,3.855965,6.3262277,1
39,39,3.1835458,7.6961,0
40,40,1.1492984,5.438961,1
42,42,5.6631827,6.522369,1
43,43,0.6202414,4.638214,1
44,44,-0.029262412,5.223403,0
46,46,1.337345,6.208804,1
51,51,3.7871618,7.215633,0
