,Unnamed: 0,Umap 1,Umap 2,discretized FADY
21,21,-7.9040923,-4.8410387,3
34,34,-6.700472,-7.568498,0
35,35,-6.609988,-7.6558256,2
36,36,-6.1855326,-7.980905,2
37,37,-6.020678,-8.121155,2
38,38,-5.6764064,-8.301581,2
39,39,-5.6078467,-8.385914,2
40,40,-5.32882,-8.349872,2
41,41,-5.2722535,-8.630768,0
42,42,-4.930078,-8.488367,2
43,43,-4.697031,-8.80208,2
44,44,-4.421981,-8.72255,2
46,46,-4.042686,-8.930714,1
47,47,-3.7312155,-9.06004,2
