,Unnamed: 0,UMAP 1,UMAP 2,discretized FADY
26,26,9.541737,-0.5462521,0
27,27,9.622295,-1.1636889,1
28,28,9.27543,-0.15463229,0
29,29,11.063152,2.5899792,1
30,30,9.61099,3.223057,1
32,32,7.771118,4.47663,1
34,34,7.514343,4.438145,1
43,43,7.9849157,1.6010777,1
44,44,8.072795,3.1205597,0
46,46,9.908826,2.9249206,1
48,48,10.0965805,2.5761075,1
51,51,9.993582,-0.438653,0
52,52,8.110204,2.223912,1
53,53,9.867602,-3.5319445,1
